molecular_weight_kda,monomer_type,backbone_type,linkage_type,branching_category,source_kingdom,solubility_category,charge_character,sulfation_present,acetylation_present,is_heteropolymer,degree_of_polymerization_log,crystallinity_category,viscosity_category,known_medical_use,known_food_use,biodegradable,biocompatible,xcomplexity_norm,hb_acceptors,functional_category,data_source,citation_note
147.18,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,3.925,High,Low,0,1,1,1,0.245,39,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
145.3,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,3.875,High,Low,0,1,1,1,0.242,38,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
508.39,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.576,Medium,Medium,0,1,1,1,0.203,30,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
472.96,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.257,Medium,Medium,0,1,1,1,0.189,28,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
484.41,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.36,Medium,Medium,0,1,1,1,0.194,29,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
489.98,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.41,Medium,Medium,0,1,1,1,0.196,29,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
496.71,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.47,Medium,Medium,0,1,1,1,0.199,29,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
521.39,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.692,Medium,Medium,0,1,1,1,0.209,31,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
477.48,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.297,Medium,Medium,0,1,1,1,0.191,28,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
501.07,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.51,Medium,Medium,0,1,1,1,0.2,30,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
506.93,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.562,Medium,Medium,0,1,1,1,0.203,30,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
465.98,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.194,Medium,Medium,0,1,1,1,0.186,27,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
508.07,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.573,Medium,Medium,0,1,1,1,0.203,30,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
475.29,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.278,Medium,Medium,0,1,1,1,0.19,28,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
467.38,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.206,Medium,Medium,0,1,1,1,0.187,28,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
533.67,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.803,Medium,Medium,0,1,1,1,0.213,32,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
534.92,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.814,Medium,Medium,0,1,1,1,0.214,32,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
523.13,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.708,Medium,Medium,0,1,1,1,0.209,31,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
485.35,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.368,Medium,Medium,0,1,1,1,0.194,29,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
469.83,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.228,Medium,Medium,0,1,1,1,0.188,28,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
513.82,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.624,Medium,Medium,0,1,1,1,0.206,30,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
495.51,Glucose,Glucose,Alpha-1-4,Linear,Plant,Partially_Soluble,Neutral,0,0,0,4.46,Medium,Medium,0,1,1,1,0.198,29,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1886.61,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,4.717,Low,High,0,1,1,1,0.283,47,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1998.55,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,4.996,Low,High,0,1,1,1,0.3,49,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1860.32,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,4.651,Low,High,0,1,1,1,0.279,46,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2122.8,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,5.307,Low,High,0,1,1,1,0.318,53,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1927.63,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,4.819,Low,High,0,1,1,1,0.289,48,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2048.76,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,5.122,Low,High,0,1,1,1,0.307,51,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1943.51,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,4.859,Low,High,0,1,1,1,0.292,48,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2006.02,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,5.015,Low,High,0,1,1,1,0.301,50,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2014.01,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,5.035,Low,High,0,1,1,1,0.302,50,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1905.46,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,4.764,Low,High,0,1,1,1,0.286,47,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2140.88,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,5.352,Low,High,0,1,1,1,0.321,53,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2082.54,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,5.206,Low,High,0,1,1,1,0.312,52,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2131.85,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,5.33,Low,High,0,1,1,1,0.32,53,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2118.45,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,5.296,Low,High,0,1,1,1,0.318,52,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2029.37,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,5.073,Low,High,0,1,1,1,0.304,50,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2126.56,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,5.316,Low,High,0,1,1,1,0.319,53,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1876.55,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,4.691,Low,High,0,1,1,1,0.281,46,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1908.79,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,4.772,Low,High,0,1,1,1,0.286,47,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1863.57,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,4.659,Low,High,0,1,1,1,0.28,46,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1947.6,Glucose,Glucose,Alpha-1-4,Highly_Branched,Plant,Partially_Soluble,Neutral,0,0,0,4.869,Low,High,0,1,1,1,0.292,48,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
983.3,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,4.917,Amorphous,High,1,0,1,1,0.344,49,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
965.7,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,4.829,Amorphous,High,1,0,1,1,0.338,48,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1049.31,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,5.247,Amorphous,High,1,0,1,1,0.367,52,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
978.51,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,4.893,Amorphous,High,1,0,1,1,0.342,48,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
967.14,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,4.836,Amorphous,High,1,0,1,1,0.338,48,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1006.4,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,5.032,Amorphous,High,1,0,1,1,0.352,50,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
946.14,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,4.731,Amorphous,High,1,0,1,1,0.331,47,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1045.33,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,5.227,Amorphous,High,1,0,1,1,0.366,52,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
936.18,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,4.681,Amorphous,High,1,0,1,1,0.328,46,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1073.03,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,5.365,Amorphous,High,1,0,1,1,0.376,53,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1040.84,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,5.204,Amorphous,High,1,0,1,1,0.364,52,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
954.81,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,4.774,Amorphous,High,1,0,1,1,0.334,47,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
925.83,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,4.629,Amorphous,High,1,0,1,1,0.324,46,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1047.32,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,5.237,Amorphous,High,1,0,1,1,0.367,52,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1031.03,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,5.155,Amorphous,High,1,0,1,1,0.361,51,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1034.35,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,5.172,Amorphous,High,1,0,1,1,0.362,51,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1040.69,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,5.203,Amorphous,High,1,0,1,1,0.364,52,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
936.11,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,4.681,Amorphous,High,1,0,1,1,0.328,46,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
978.77,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,4.894,Amorphous,High,1,0,1,1,0.343,48,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
942.38,Glucose,Glucose,Alpha-1-4,Highly_Branched,Animal,Soluble,Neutral,0,0,0,4.712,Amorphous,High,1,0,1,1,0.33,47,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
527.23,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.745,High,Low,1,0,1,1,0.475,47,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
509.25,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.583,High,Low,1,0,1,1,0.458,45,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
487.32,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.386,High,Low,1,0,1,1,0.439,43,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
467.27,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.205,High,Low,1,0,1,1,0.421,42,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
485.82,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.372,High,Low,1,0,1,1,0.437,43,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
486.89,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.382,High,Low,1,0,1,1,0.438,43,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
517.22,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.655,High,Low,1,0,1,1,0.465,46,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
510.32,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.593,High,Low,1,0,1,1,0.459,45,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
529.04,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.761,High,Low,1,0,1,1,0.476,47,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
497.92,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.481,High,Low,1,0,1,1,0.448,44,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
471.47,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.243,High,Low,1,0,1,1,0.424,42,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
515.99,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.644,High,Low,1,0,1,1,0.464,46,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
519.56,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.676,High,Low,1,0,1,1,0.468,46,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
504.6,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.541,High,Low,1,0,1,1,0.454,45,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
520.32,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.683,High,Low,1,0,1,1,0.468,46,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
499.53,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.496,High,Low,1,0,1,1,0.45,44,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
501.7,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.515,High,Low,1,0,1,1,0.452,45,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
494.57,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.451,High,Low,1,0,1,1,0.445,44,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
464.41,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.18,High,Low,1,0,1,1,0.418,41,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
470.59,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Insoluble,Neutral,0,1,0,4.235,High,Low,1,0,1,1,0.424,42,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
185.94,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,3.905,Medium,Medium,1,0,1,1,0.372,37,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
204.09,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.286,Medium,Medium,1,0,1,1,0.408,40,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
194.43,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.083,Medium,Medium,1,0,1,1,0.389,38,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
200.26,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.205,Medium,Medium,1,0,1,1,0.401,40,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
212.23,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.457,Medium,Medium,1,0,1,1,0.424,42,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
192.48,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.042,Medium,Medium,1,0,1,1,0.385,38,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
197.31,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.144,Medium,Medium,1,0,1,1,0.395,39,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
207.67,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.361,Medium,Medium,1,0,1,1,0.415,41,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
191.86,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.029,Medium,Medium,1,0,1,1,0.384,38,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
187.31,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,3.933,Medium,Medium,1,0,1,1,0.375,37,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
193.69,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.068,Medium,Medium,1,0,1,1,0.387,38,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
189.84,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,3.987,Medium,Medium,1,0,1,1,0.38,37,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
212.89,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.471,Medium,Medium,1,0,1,1,0.426,42,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
209.24,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.394,Medium,Medium,1,0,1,1,0.418,41,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
204.0,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.284,Medium,Medium,1,0,1,1,0.408,40,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
211.14,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.434,Medium,Medium,1,0,1,1,0.422,42,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
209.11,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.391,Medium,Medium,1,0,1,1,0.418,41,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
190.6,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.003,Medium,Medium,1,0,1,1,0.381,38,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
211.78,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.447,Medium,Medium,1,0,1,1,0.424,42,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
201.18,GlcNAc,GlcNAc,Beta-1-4,Linear,Fungi,Partially_Soluble,Cationic,0,1,0,4.225,Medium,Medium,1,0,1,1,0.402,40,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
15.69,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.975,Amorphous,Low,1,0,1,1,0.628,57,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
15.89,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,4.026,Amorphous,Low,1,0,1,1,0.636,58,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
