name,category,drug_class,administration_route,half_life_hours,bioavailability_percent,plasma_protein_binding_percent,volume_of_distribution_L_kg,clearance_ml_min_kg,ld50_mg_kg,adverse_effects,source
Cellulose Sulfate,Structural,Anti-inflammatory,Topical,68.1,37.0,11.0,4.114,14.89,6210.0,None reported,Plants (Modified)
Fucoidan,Algal,Antineoplastic,Oral,32.3,59.8,42.6,0.782,17.3,9254.0,None reported,Brown Algae
Xanthan Gum,Bacterial,Immunosuppressant,Topical,6.9,83.8,37.6,2.548,15.14,7570.0,Allergic reaction,Bacteria
Gellan Gum,Bacterial,Anticoagulant,Transdermal,23.3,17.0,44.7,3.743,2.87,5799.0,None reported,Bacteria
Glycogen,Storage,Anticoagulant,IV,69.0,55.6,85.0,4.925,6.49,6499.0,GI disturbance,Animals
Alginate,Algal,Anti-inflammatory,IV,52.2,9.0,15.2,2.679,16.61,7996.0,None reported,Brown Algae
Welan Gum,Bacterial,Anti-inflammatory,Oral,20.8,10.8,21.9,1.1,9.49,4065.0,GI disturbance,Bacteria
Welan Gum,Bacterial,Antibacterial,Subcutaneous,15.2,77.0,22.3,2.227,4.73,3552.0,None reported,Bacteria
Carrageenan,Algal,Hepatoprotective,IV,15.4,28.0,64.4,3.536,12.72,5491.0,Allergic reaction,Red Algae
Glycogen,Storage,Mucolytic,Transdermal,68.8,47.8,31.7,3.271,17.29,8222.0,Bleeding risk,Animals
Curdlan,Bacterial,Antifungal,Inhalation,13.8,37.9,87.2,0.551,6.16,3990.0,None reported,Bacteria
Cellulose,Structural,Antineoplastic,Inhalation,65.6,49.8,26.0,0.189,3.59,5986.0,Allergic reaction,Plants
Levan,Bacterial,Anticoagulant,Topical,65.9,33.0,55.9,1.92,5.47,780.0,Allergic reaction,Bacteria
Glycogen,Storage,Anticoagulant,Oral,45.1,71.2,94.4,1.65,17.89,3414.0,GI disturbance,Animals
Levan,Bacterial,Prebiotic agent,Oral,70.2,96.5,13.3,3.363,11.16,1440.0,Bleeding risk,Bacteria
Starch,Storage,Prebiotic agent,IV,35.3,24.8,21.8,4.293,17.51,2707.0,GI disturbance,Plants
Scleroglucan,Fungal,Prebiotic agent,Subcutaneous,8.8,76.7,30.2,1.619,4.62,314.0,Allergic reaction,Fungi
Curdlan,Bacterial,Anticoagulant,Subcutaneous,35.9,29.7,76.5,4.591,17.28,6304.0,Minimal,Bacteria
Curdlan,Bacterial,Antineoplastic,IV,36.7,77.5,34.5,3.088,9.36,2769.0,GI disturbance,Bacteria
Konjac Glucomannan,Storage,Mucolytic,Oral,61.7,27.5,83.2,1.677,15.1,4591.0,Allergic reaction,Plants
Chitin,Structural,Antifungal,Topical,64.0,7.0,95.2,4.04,19.22,9853.0,Minimal,Fungi/Exoskeletons
Konjac Glucomannan,Storage,Antiviral,Topical,56.0,77.7,13.1,1.56,4.56,5088.0,None reported,Plants
Glycogen,Storage,Antibacterial,Subcutaneous,15.2,49.6,67.4,1.828,10.48,7350.0,Bleeding risk,Animals
Carrageenan,Algal,Prebiotic agent,Subcutaneous,32.6,83.8,18.3,3.601,12.3,6265.0,Minimal,Red Algae
Alginate,Algal,Immunosuppressant,Inhalation,59.6,88.0,95.3,0.972,2.99,1419.0,GI disturbance,Brown Algae
Hyaluronic Acid,Bioactive,Anticoagulant,Topical,5.3,85.5,85.9,1.202,2.16,445.0,GI disturbance,Animals/Bacteria
Pullulan,Fungal,Antifungal,IV,1.0,77.0,15.8,0.33,13.96,6926.0,GI disturbance,Fungi
Chitin,Structural,Hepatoprotective,IV,11.9,40.3,78.7,4.209,13.04,689.0,Allergic reaction,Fungi/Exoskeletons
Welan Gum,Bacterial,Hepatoprotective,Topical,7.6,65.3,22.7,3.766,11.11,4710.0,None reported,Bacteria
Gellan Gum,Bacterial,Antibacterial,Subcutaneous,11.3,42.0,32.5,4.67,8.43,1915.0,GI disturbance,Bacteria
Glycogen,Storage,Antifungal,Topical,57.2,22.6,11.2,4.17,14.03,6767.0,Bleeding risk,Animals
Levan,Bacterial,Anti-inflammatory,Oral,38.7,64.1,13.1,1.562,10.75,1082.0,Allergic reaction,Bacteria
Xanthan Gum,Bacterial,Anticoagulant,Subcutaneous,1.4,56.9,49.5,3.281,1.59,9307.0,Minimal,Bacteria
Cellulose,Structural,Hepatoprotective,Topical,56.2,27.5,88.6,2.1,3.14,5755.0,Bleeding risk,Plants
Levan,Bacterial,Antibacterial,Inhalation,2.7,37.2,51.9,1.599,1.67,5000.0,Bleeding risk,Bacteria
Pectin,Structural,Hepatoprotective,Oral,2.4,48.8,64.1,0.493,15.18,443.0,Allergic reaction,Plants
Hyaluronic Acid,Bioactive,Antineoplastic,Oral,8.3,56.4,43.5,0.254,10.43,8858.0,Allergic reaction,Animals/Bacteria
Guar Gum,Storage,Antineoplastic,IV,9.1,81.4,32.3,4.357,14.34,2865.0,Allergic reaction,Plants
Chitin,Structural,Antifungal,Oral,41.2,57.0,97.4,0.389,16.77,4602.0,GI disturbance,Fungi/Exoskeletons
Agar,Algal,Antiviral,Oral,70.8,18.7,29.9,1.543,17.21,9314.0,Bleeding risk,Red Algae
Hyaluronic Acid,Bioactive,Mucolytic,IV,7.1,42.7,22.7,0.946,18.27,2772.0,Minimal,Animals/Bacteria
Heparin,Bioactive,Anticoagulant,Inhalation,19.9,75.5,49.3,4.221,17.72,3821.0,Minimal,Animals
Xanthan Gum,Bacterial,Antineoplastic,Subcutaneous,46.4,38.5,18.3,4.619,9.67,881.0,Allergic reaction,Bacteria
Laminarin,Algal,Prebiotic agent,Transdermal,40.3,97.2,69.6,1.388,7.23,6951.0,None reported,Brown Algae
Cellulose Sulfate,Structural,Mucolytic,Oral,27.8,17.5,19.4,3.354,6.73,9308.0,None reported,Plants (Modified)
Glycogen,Storage,Antineoplastic,Subcutaneous,39.1,43.4,76.7,1.463,12.33,5405.0,Allergic reaction,Animals
Inulin,Storage,Antifungal,Inhalation,31.1,88.5,96.3,3.389,2.97,4690.0,Minimal,Plants
Starch,Storage,Antibacterial,Inhalation,19.8,48.3,12.1,3.759,9.05,6608.0,Minimal,Plants
Curdlan,Bacterial,Anti-inflammatory,Inhalation,2.8,32.7,84.5,0.697,9.03,532.0,Allergic reaction,Bacteria
Curdlan,Bacterial,Antibacterial,IV,28.6,96.4,65.0,4.176,15.82,9799.0,GI disturbance,Bacteria
Cellulose Sulfate,Structural,Prebiotic agent,Inhalation,31.7,47.7,93.7,2.546,2.79,5783.0,None reported,Plants (Modified)
Levan,Bacterial,Mucolytic,Topical,31.4,19.1,85.3,0.882,19.96,2073.0,Allergic reaction,Bacteria
Scleroglucan,Fungal,Antineoplastic,Oral,26.2,36.2,87.3,3.819,0.54,304.0,None reported,Fungi
Locust Bean Gum,Storage,Antiviral,IV,57.2,75.7,97.5,2.295,12.08,6161.0,Minimal,Plants
Locust Bean Gum,Storage,Antibacterial,Inhalation,55.4,59.0,17.9,1.298,8.42,126.0,None reported,Plants
Glycogen,Storage,Antiviral,Inhalation,54.3,64.6,82.2,0.737,10.14,9345.0,None reported,Animals
Scleroglucan,Fungal,Antibacterial,Inhalation,52.5,75.3,64.4,1.972,11.06,7357.0,GI disturbance,Fungi
Cellulose Sulfate,Structural,Anti-inflammatory,Inhalation,30.9,100.0,44.2,0.251,0.95,6008.0,None reported,Plants (Modified)
Locust Bean Gum,Storage,Prebiotic agent,Transdermal,16.2,46.3,88.3,3.629,5.26,4512.0,Minimal,Plants
Locust Bean Gum,Storage,Anti-inflammatory,Topical,7.1,62.4,66.8,3.487,6.93,1501.0,None reported,Plants
Dextran,Bacterial,Antineoplastic,Oral,14.0,29.7,84.6,0.11,7.58,3307.0,Bleeding risk,Bacteria
Inulin,Storage,Antiviral,Subcutaneous,2.6,35.6,93.0,3.056,5.38,5862.0,GI disturbance,Plants
Carrageenan,Algal,Antiviral,Subcutaneous,11.1,10.1,15.2,0.733,17.68,7238.0,Bleeding risk,Red Algae
Welan Gum,Bacterial,Antibacterial,Oral,49.7,19.5,22.1,1.151,9.21,9232.0,GI disturbance,Bacteria
Starch,Storage,Antineoplastic,Subcutaneous,10.6,55.4,54.1,0.397,5.61,3315.0,Bleeding risk,Plants
Pullulan,Fungal,Immunosuppressant,Topical,46.1,23.3,37.4,4.758,4.83,9958.0,Minimal,Fungi
Starch,Storage,Prebiotic agent,Oral,11.9,14.0,77.9,4.755,11.26,3387.0,None reported,Plants
Chitin,Structural,Antiviral,Oral,45.4,79.7,95.8,1.762,0.85,6689.0,Allergic reaction,Fungi/Exoskeletons
Chitin,Structural,Anticoagulant,Oral,33.7,21.4,14.9,2.161,0.96,944.0,None reported,Fungi/Exoskeletons
Agar,Algal,Antibacterial,IV,33.3,7.8,73.7,3.741,3.93,9838.0,Bleeding risk,Red Algae
Curdlan,Bacterial,Antiviral,Oral,25.6,16.9,67.6,1.359,10.88,3805.0,Allergic reaction,Bacteria
Gellan Gum,Bacterial,Antiviral,Subcutaneous,54.2,26.3,81.7,4.461,18.31,7564.0,GI disturbance,Bacteria
Carrageenan,Algal,Anticoagulant,Topical,47.3,89.9,96.1,2.124,4.77,6377.0,Allergic reaction,Red Algae
Starch,Storage,Anti-inflammatory,Inhalation,6.8,27.5,42.2,3.61,16.07,9832.0,GI disturbance,Plants
Guar Gum,Storage,Antineoplastic,Topical,17.3,58.0,47.1,2.481,8.49,1774.0,GI disturbance,Plants
Konjac Glucomannan,Storage,Anti-inflammatory,Transdermal,49.1,83.5,68.8,0.957,9.33,138.0,Allergic reaction,Plants
Levan,Bacterial,Antiviral,Topical,67.1,79.4,93.8,4.287,5.88,858.0,None reported,Bacteria
Pullulan,Fungal,Antiviral,Inhalation,32.1,86.3,33.7,3.137,9.73,8316.0,Bleeding risk,Fungi
Curdlan,Bacterial,Anticoagulant,Transdermal,15.4,6.4,46.3,4.667,16.22,3103.0,None reported,Bacteria
Guar Gum,Storage,Prebiotic agent,IV,9.5,34.8,33.9,1.087,1.55,7288.0,Allergic reaction,Plants
Cellulose Sulfate,Structural,Antineoplastic,Oral,11.3,36.9,66.1,4.225,12.29,7537.0,Bleeding risk,Plants (Modified)
Alginate,Algal,Prebiotic agent,Inhalation,56.7,6.6,45.2,3.47,16.12,6464.0,Minimal,Brown Algae
Konjac Glucomannan,Storage,Anti-inflammatory,Oral,48.4,63.2,78.1,2.756,2.07,1553.0,Bleeding risk,Plants
Starch,Storage,Antiviral,IV,22.4,37.0,61.6,1.473,17.55,5077.0,Bleeding risk,Plants
Gellan Gum,Bacterial,Anti-inflammatory,Inhalation,37.5,60.7,46.9,0.165,8.4,2671.0,Minimal,Bacteria
Alginate,Algal,Anti-inflammatory,Oral,71.5,22.3,24.2,4.397,6.56,6599.0,GI disturbance,Brown Algae
Glycogen,Storage,Antineoplastic,IV,62.2,16.3,45.3,1.589,15.01,5326.0,Minimal,Animals
Agar,Algal,Antifungal,IV,7.7,74.3,86.8,1.956,19.76,2106.0,Minimal,Red Algae
Welan Gum,Bacterial,Immunosuppressant,Oral,43.0,57.3,62.1,3.042,19.18,894.0,GI disturbance,Bacteria
Cellulose,Structural,Anticoagulant,IV,21.8,94.0,81.6,1.241,15.13,5014.0,Minimal,Plants
Curdlan,Bacterial,Antifungal,Transdermal,40.2,9.3,75.9,4.429,15.27,8853.0,Bleeding risk,Bacteria
Konjac Glucomannan,Storage,Mucolytic,Transdermal,51.6,97.9,97.2,3.623,5.54,5860.0,GI disturbance,Plants
Fucoidan,Algal,Antifungal,Inhalation,24.0,39.6,10.8,0.646,4.52,4432.0,Bleeding risk,Brown Algae
Pectin,Structural,Antibacterial,IV,51.0,7.2,91.2,2.813,13.68,8387.0,None reported,Plants
Gellan Gum,Bacterial,Anticoagulant,Subcutaneous,10.3,49.5,76.9,3.59,9.62,9460.0,Minimal,Bacteria
Levan,Bacterial,Anticoagulant,Inhalation,49.9,15.6,64.2,4.881,3.52,8948.0,None reported,Bacteria
Konjac Glucomannan,Storage,Hepatoprotective,Transdermal,71.1,28.9,53.2,0.647,4.36,3455.0,Bleeding risk,Plants
Cellulose,Structural,Antifungal,Subcutaneous,40.5,15.1,89.5,0.951,6.09,248.0,None reported,Plants
Alginate,Algal,Mucolytic,Subcutaneous,62.5,52.5,11.3,3.274,13.55,3002.0,Bleeding risk,Brown Algae
Xanthan Gum,Bacterial,Antiviral,IV,12.1,83.3,44.4,0.238,19.87,6064.0,Allergic reaction,Bacteria
Cellulose Sulfate,Structural,Mucolytic,Subcutaneous,19.1,68.3,11.8,4.014,13.8,3629.0,Allergic reaction,Plants (Modified)
Laminarin,Algal,Anti-inflammatory,IV,41.8,98.3,92.0,3.5,18.82,9439.0,Minimal,Brown Algae
Pectin,Structural,Anticoagulant,Transdermal,8.8,43.6,36.2,0.769,1.92,4855.0,Minimal,Plants
Xanthan Gum,Bacterial,Immunosuppressant,Topical,3.8,94.4,81.6,2.637,5.53,7840.0,GI disturbance,Bacteria
Xanthan Gum,Bacterial,Anti-inflammatory,Inhalation,39.0,26.1,22.1,2.732,6.21,753.0,Minimal,Bacteria
Starch,Storage,Prebiotic agent,Oral,53.3,62.1,81.2,4.08,6.67,2363.0,Bleeding risk,Plants
Chitin,Structural,Mucolytic,Oral,27.5,73.4,77.2,3.586,19.79,7013.0,Allergic reaction,Fungi/Exoskeletons
Welan Gum,Bacterial,Immunosuppressant,IV,48.2,93.9,85.9,1.202,11.22,1025.0,GI disturbance,Bacteria
Starch,Storage,Anti-inflammatory,Topical,65.7,45.0,77.6,0.82,10.36,8103.0,Allergic reaction,Plants
Chitin,Structural,Mucolytic,Subcutaneous,18.1,37.0,75.5,4.576,2.67,5505.0,Minimal,Fungi/Exoskeletons
Pullulan,Fungal,Antifungal,Topical,58.2,17.7,62.1,3.837,10.21,1075.0,GI disturbance,Fungi
Inulin,Storage,Antineoplastic,Subcutaneous,61.6,65.8,77.1,4.07,9.51,2348.0,Allergic reaction,Plants
Starch,Storage,Antineoplastic,Topical,56.8,46.3,75.0,4.954,15.55,4286.0,Allergic reaction,Plants
Pullulan,Fungal,Antineoplastic,Oral,26.1,46.9,12.4,1.058,16.62,4692.0,GI disturbance,Fungi
Carrageenan,Algal,Prebiotic agent,Transdermal,34.9,99.5,76.2,2.432,14.59,2243.0,Allergic reaction,Red Algae
Pectin,Structural,Prebiotic agent,IV,38.4,78.8,88.2,1.518,1.92,3087.0,GI disturbance,Plants
Welan Gum,Bacterial,Antifungal,Transdermal,13.4,9.7,59.5,1.695,15.53,4005.0,None reported,Bacteria
Carrageenan,Algal,Antineoplastic,Subcutaneous,13.8,54.0,36.4,0.276,8.62,2582.0,Minimal,Red Algae
Pullulan,Fungal,Antiviral,Transdermal,15.3,50.4,15.9,4.182,4.53,3449.0,None reported,Fungi
Carrageenan,Algal,Antifungal,Subcutaneous,50.0,39.0,21.0,4.471,8.91,5089.0,Allergic reaction,Red Algae
Laminarin,Algal,Anticoagulant,Subcutaneous,64.6,70.9,80.2,2.609,18.75,9937.0,None reported,Brown Algae
Scleroglucan,Fungal,Immunosuppressant,IV,4.6,36.8,42.6,1.215,0.62,7903.0,None reported,Fungi
Laminarin,Algal,Antineoplastic,Subcutaneous,14.8,44.7,17.4,4.529,12.13,4549.0,GI disturbance,Brown Algae
Konjac Glucomannan,Storage,Anticoagulant,Topical,14.2,67.3,38.3,2.279,14.87,5052.0,Allergic reaction,Plants
Guar Gum,Storage,Mucolytic,Topical,18.7,46.5,16.8,3.537,1.04,8329.0,None reported,Plants
Inulin,Storage,Antineoplastic,IV,34.6,86.7,76.0,0.695,14.71,1885.0,Bleeding risk,Plants
Hyaluronic Acid,Bioactive,Antineoplastic,Subcutaneous,7.9,77.3,83.6,4.159,13.2,4952.0,None reported,Animals/Bacteria
Chitin,Structural,Antifungal,Oral,30.7,10.4,35.9,3.103,11.09,1229.0,GI disturbance,Fungi/Exoskeletons
Cellulose Sulfate,Structural,Antiviral,Inhalation,40.1,8.1,25.5,0.563,8.78,5828.0,Bleeding risk,Plants (Modified)
Curdlan,Bacterial,Antineoplastic,IV,2.6,22.1,46.4,4.807,11.59,5541.0,Minimal,Bacteria
Inulin,Storage,Antineoplastic,Transdermal,28.9,52.1,16.8,2.14,0.99,807.0,Allergic reaction,Plants
Konjac Glucomannan,Storage,Anticoagulant,IV,58.1,12.6,91.3,2.256,15.68,8893.0,Minimal,Plants
Cellulose,Structural,Prebiotic agent,Inhalation,14.7,22.6,83.5,0.959,18.38,3830.0,Bleeding risk,Plants
Chitin,Structural,Antifungal,IV,40.8,79.3,48.1,1.246,11.33,5445.0,None reported,Fungi/Exoskeletons
Cellulose,Structural,Antiviral,Topical,19.1,19.8,40.8,3.656,16.44,5545.0,Minimal,Plants
Welan Gum,Bacterial,Hepatoprotective,IV,53.3,26.4,50.7,0.832,15.28,1884.0,Minimal,Bacteria
Hyaluronic Acid,Bioactive,Hepatoprotective,Oral,59.3,26.1,67.4,1.527,15.56,8189.0,Minimal,Animals/Bacteria
Heparin,Bioactive,Antiviral,Transdermal,30.5,42.5,39.1,0.9,17.33,5574.0,GI disturbance,Animals
Alginate,Algal,Immunosuppressant,Inhalation,35.5,64.2,65.1,1.899,9.33,106.0,None reported,Brown Algae
Levan,Bacterial,Prebiotic agent,Oral,30.4,52.0,42.0,2.093,17.49,1779.0,None reported,Bacteria
Starch,Storage,Anti-inflammatory,Inhalation,69.1,85.2,62.4,0.871,15.55,9051.0,GI disturbance,Plants
Agar,Algal,Hepatoprotective,Oral,20.5,56.5,90.4,2.945,3.88,1653.0,Bleeding risk,Red Algae
Agar,Algal,Immunosuppressant,IV,1.0,20.9,41.5,0.252,16.29,9068.0,GI disturbance,Red Algae
Alginate,Algal,Anticoagulant,Oral,44.7,74.3,97.1,1.454,16.03,6861.0,Minimal,Brown Algae
Agar,Algal,Antiviral,Inhalation,36.6,57.7,59.3,3.491,4.56,2017.0,Bleeding risk,Red Algae
Xanthan Gum,Bacterial,Antineoplastic,Topical,61.3,42.4,24.4,2.162,0.64,5420.0,GI disturbance,Bacteria
Curdlan,Bacterial,Antibacterial,Transdermal,17.0,17.0,95.0,1.384,5.77,1701.0,None reported,Bacteria
Cellulose,Structural,Antifungal,Topical,54.2,42.3,89.9,3.078,12.49,9519.0,Minimal,Plants
Heparin,Bioactive,Immunosuppressant,Subcutaneous,29.2,12.1,50.5,2.961,5.92,749.0,Minimal,Animals
Carrageenan,Algal,Antineoplastic,Inhalation,55.9,30.5,18.2,1.056,9.24,6259.0,Minimal,Red Algae
Curdlan,Bacterial,Antineoplastic,IV,28.8,12.2,30.2,2.434,5.03,4068.0,Allergic reaction,Bacteria
Inulin,Storage,Antifungal,Topical,11.3,86.0,65.4,2.023,7.97,8983.0,Bleeding risk,Plants
Welan Gum,Bacterial,Anticoagulant,Inhalation,30.9,47.6,77.4,0.181,11.64,1668.0,None reported,Bacteria
Inulin,Storage,Mucolytic,IV,19.8,23.1,72.1,0.361,13.98,8615.0,GI disturbance,Plants
Starch,Storage,Mucolytic,Oral,19.9,73.4,22.3,2.93,2.55,2454.0,Minimal,Plants
Locust Bean Gum,Storage,Antifungal,Subcutaneous,66.1,48.8,22.3,2.357,19.49,3806.0,GI disturbance,Plants
Heparin,Bioactive,Antineoplastic,Oral,36.4,27.4,82.0,3.16,13.67,7034.0,None reported,Animals
Chitin,Structural,Hepatoprotective,IV,53.1,97.1,36.6,2.737,10.11,4371.0,Allergic reaction,Fungi/Exoskeletons
Curdlan,Bacterial,Immunosuppressant,IV,63.5,77.0,61.8,4.932,8.88,1043.0,None reported,Bacteria
Cellulose,Structural,Antineoplastic,Topical,33.9,56.6,35.5,2.195,1.62,5246.0,None reported,Plants
Alginate,Algal,Antibacterial,Inhalation,14.2,75.2,25.1,3.885,14.14,7135.0,Allergic reaction,Brown Algae
Heparin,Bioactive,Antiviral,IV,1.8,53.3,45.0,0.67,11.9,1766.0,GI disturbance,Animals
Xanthan Gum,Bacterial,Mucolytic,Transdermal,27.2,79.6,44.5,2.799,3.87,8709.0,Minimal,Bacteria
Konjac Glucomannan,Storage,Anti-inflammatory,Inhalation,13.6,74.3,68.4,3.196,3.78,8841.0,GI disturbance,Plants
Pullulan,Fungal,Antineoplastic,Inhalation,29.9,61.0,32.2,0.942,0.75,8526.0,Bleeding risk,Fungi
Hyaluronic Acid,Bioactive,Immunosuppressant,Topical,6.7,59.1,25.4,0.107,0.76,7051.0,Allergic reaction,Animals/Bacteria
Carrageenan,Algal,Antineoplastic,Transdermal,32.2,17.8,45.1,1.348,16.71,3493.0,Minimal,Red Algae
Curdlan,Bacterial,Mucolytic,Subcutaneous,14.4,11.3,83.6,3.253,0.87,2393.0,Minimal,Bacteria
Cellulose,Structural,Anti-inflammatory,Inhalation,16.2,40.2,27.7,3.115,3.12,3049.0,Allergic reaction,Plants
Glycogen,Storage,Anti-inflammatory,Inhalation,16.4,86.0,71.1,2.128,0.91,5336.0,Allergic reaction,Animals
Guar Gum,Storage,Anticoagulant,Topical,29.1,43.0,91.3,3.754,16.7,643.0,Allergic reaction,Plants
Heparin,Bioactive,Antiviral,Topical,16.1,54.9,92.7,0.101,11.66,2360.0,Bleeding risk,Animals
Xanthan Gum,Bacterial,Prebiotic agent,Subcutaneous,6.9,83.5,68.0,4.294,13.63,2135.0,Bleeding risk,Bacteria
Levan,Bacterial,Anti-inflammatory,Oral,46.5,80.3,32.8,3.577,19.32,3067.0,Bleeding risk,Bacteria
Welan Gum,Bacterial,Anti-inflammatory,Subcutaneous,25.5,90.5,35.3,4.581,4.33,1869.0,Allergic reaction,Bacteria
Scleroglucan,Fungal,Antiviral,Inhalation,26.4,95.3,88.7,3.773,8.73,6956.0,GI disturbance,Fungi
Laminarin,Algal,Prebiotic agent,IV,45.1,9.3,34.4,2.171,1.85,3345.0,GI disturbance,Brown Algae
Chitin,Structural,Antibacterial,Inhalation,32.1,99.8,83.6,2.497,12.5,1969.0,GI disturbance,Fungi/Exoskeletons
Welan Gum,Bacterial,Antineoplastic,Oral,63.6,32.3,29.3,1.573,15.54,870.0,Allergic reaction,Bacteria
Hyaluronic Acid,Bioactive,Immunosuppressant,Topical,25.2,79.2,80.1,2.53,8.08,2630.0,None reported,Animals/Bacteria
Konjac Glucomannan,Storage,Anticoagulant,IV,26.2,32.9,57.2,3.74,7.88,7635.0,Allergic reaction,Plants
Cellulose Sulfate,Structural,Hepatoprotective,Oral,20.6,49.4,27.4,2.198,14.27,726.0,Minimal,Plants (Modified)
Starch,Storage,Hepatoprotective,Topical,16.7,88.1,65.1,1.599,14.97,2752.0,Minimal,Plants
Carrageenan,Algal,Prebiotic agent,IV,23.5,61.0,11.4,4.001,11.84,2282.0,None reported,Red Algae
Glycogen,Storage,Prebiotic agent,Transdermal,31.1,33.9,84.5,3.194,14.87,3007.0,Allergic reaction,Animals
Locust Bean Gum,Storage,Antibacterial,Topical,20.2,48.4,44.9,1.907,11.07,4569.0,GI disturbance,Plants
Levan,Bacterial,Prebiotic agent,Subcutaneous,61.2,17.5,87.2,3.787,8.38,9254.0,Minimal,Bacteria
Alginate,Algal,Prebiotic agent,Transdermal,6.7,40.4,55.5,3.064,1.15,692.0,Allergic reaction,Brown Algae
Guar Gum,Storage,Antineoplastic,Inhalation,60.8,6.1,55.5,1.706,14.1,6533.0,None reported,Plants
Carrageenan,Algal,Anticoagulant,Topical,70.3,39.5,76.3,2.171,7.08,461.0,Bleeding risk,Red Algae
Pullulan,Fungal,Prebiotic agent,Subcutaneous,42.8,28.3,12.4,2.441,9.08,2189.0,Allergic reaction,Fungi
Guar Gum,Storage,Anti-inflammatory,Inhalation,67.2,22.4,26.1,2.081,17.22,9121.0,GI disturbance,Plants
Konjac Glucomannan,Storage,Anti-inflammatory,Inhalation,1.7,53.6,54.7,2.56,6.92,5074.0,GI disturbance,Plants
Scleroglucan,Fungal,Hepatoprotective,Oral,28.2,76.4,60.4,1.062,13.75,1775.0,None reported,Fungi
Welan Gum,Bacterial,Hepatoprotective,Inhalation,54.5,98.8,12.1,4.227,16.08,6413.0,Minimal,Bacteria
Scleroglucan,Fungal,Prebiotic agent,Inhalation,10.4,83.7,71.1,0.34,13.13,5654.0,Minimal,Fungi
Cellulose Sulfate,Structural,Antiviral,Transdermal,52.2,7.8,44.4,0.975,1.69,790.0,Bleeding risk,Plants (Modified)
Curdlan,Bacterial,Anticoagulant,Subcutaneous,14.2,81.9,61.2,3.845,10.42,6196.0,None reported,Bacteria
Cellulose Sulfate,Structural,Antineoplastic,Subcutaneous,9.1,19.6,71.8,4.831,15.5,7749.0,Bleeding risk,Plants (Modified)
Pullulan,Fungal,Anti-inflammatory,Subcutaneous,53.2,92.6,57.0,4.121,6.51,2698.0,Allergic reaction,Fungi
Curdlan,Bacterial,Prebiotic agent,IV,2.7,73.2,62.0,3.45,13.46,9728.0,Minimal,Bacteria
Scleroglucan,Fungal,Immunosuppressant,Topical,22.1,99.0,62.9,0.145,6.0,7773.0,None reported,Fungi
Levan,Bacterial,Antifungal,Oral,71.6,61.9,15.6,1.733,11.0,1980.0,GI disturbance,Bacteria
