name,category,source,monomer_unit,bond_type,molecular_weight_kda,solubility,biological_function
Alginate,Algal,Brown Algae,Mannuronic/Guluronic,"Beta-1,4",203.09,Soluble,Structural/Protective
Welan Gum,Bacterial,Bacteria,Glucose/Rhamnose,Mixed,1827.82,Soluble,Viscosity agent
Scleroglucan,Fungal,Fungi,Glucose,"Beta-1,3/1,6",1134.7,Soluble,Structural/Protective
Dextran,Bacterial,Bacteria,Glucose,"Alpha-1,6",109.7,Soluble,Biofilm/Adhesion
Agar,Algal,Red Algae,Galactose,Mixed,160.99,Soluble (Hot),Gelling agent
Carrageenan,Algal,Red Algae,Galactose,Mixed,477.8,Soluble,Cell wall support
Fucoidan,Algal,Brown Algae,Fucose/Sulfate,"Alpha-1,2/1,3",106.68,Soluble,Cell signaling
Hyaluronic Acid,Bioactive,Animals/Bacteria,Glucuronic/Glucosamine,"Beta-1,3",1948.07,Soluble,Lubrication/ECM
Xanthan Gum,Bacterial,Bacteria,Glucose/Mannose/GlcA,Mixed,3102.11,Soluble,Stabilizer
Welan Gum,Bacterial,Bacteria,Glucose/Rhamnose,Mixed,2174.66,Soluble,Viscosity agent
Fucoidan,Algal,Brown Algae,Fucose/Sulfate,"Alpha-1,2/1,3",91.43,Soluble,Cell signaling
Fucoidan,Algal,Brown Algae,Fucose/Sulfate,"Alpha-1,2/1,3",93.42,Soluble,Cell signaling
Gellan Gum,Bacterial,Bacteria,Glucose/Rhamnose/GlcA,Mixed,948.96,Soluble,Biofilm former
Pullulan,Fungal,Fungi,Glucose,"Alpha-1,4/1,6",292.77,Soluble,Capsule formation
Fucoidan,Algal,Brown Algae,Fucose/Sulfate,"Alpha-1,2/1,3",103.76,Soluble,Cell signaling
Agar,Algal,Red Algae,Galactose,Mixed,155.54,Soluble (Hot),Gelling agent
Konjac Glucomannan,Storage,Plants,Glucose/Mannose,"Beta-1,4",1055.2,Soluble,Tuber storage
Agar,Algal,Red Algae,Galactose,Mixed,159.65,Soluble (Hot),Gelling agent
Pectin,Structural,Plants,Galacturonic acid,"Alpha-1,4",78.42,Soluble,Cell wall cementing
Glycogen,Storage,Animals,Glucose,"Alpha-1,4/1,6",753.76,Soluble,Glucose reserve
Curdlan,Bacterial,Bacteria,Glucose,"Beta-1,3",79.57,Insoluble,Biofilm matrix
Pectin,Structural,Plants,Galacturonic acid,"Alpha-1,4",75.4,Soluble,Cell wall cementing
Guar Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",215.41,Soluble,Seed endosperm reserve
Fucoidan,Algal,Brown Algae,Fucose/Sulfate,"Alpha-1,2/1,3",99.18,Soluble,Cell signaling
Inulin,Storage,Plants,Fructose,"Beta-2,1",4.64,Soluble,Fructose storage
Gellan Gum,Bacterial,Bacteria,Glucose/Rhamnose/GlcA,Mixed,1012.27,Soluble,Biofilm former
Inulin,Storage,Plants,Fructose,"Beta-2,1",5.25,Soluble,Fructose storage
Levan,Bacterial,Bacteria,Fructose,"Beta-2,6",2159.13,Soluble,Carbon reserve
Carrageenan,Algal,Red Algae,Galactose,Mixed,486.2,Soluble,Cell wall support
Heparin,Bioactive,Animals,Glucosamine/Uronic,"Alpha-1,4",15.03,Soluble,Anticoagulant
Glycogen,Storage,Animals,Glucose,"Alpha-1,4/1,6",840.93,Soluble,Glucose reserve
Chitin,Structural,Fungi/Exoskeletons,N-acetylglucosamine,"Beta-1,4",651.4,Insoluble,Structural support
Hyaluronic Acid,Bioactive,Animals/Bacteria,Glucuronic/Glucosamine,"Beta-1,3",2116.83,Soluble,Lubrication/ECM
Levan,Bacterial,Bacteria,Fructose,"Beta-2,6",2038.56,Soluble,Carbon reserve
Carrageenan,Algal,Red Algae,Galactose,Mixed,488.16,Soluble,Cell wall support
Pullulan,Fungal,Fungi,Glucose,"Alpha-1,4/1,6",301.75,Soluble,Capsule formation
Cellulose Sulfate,Structural,Plants (Modified),Glucose,"Beta-1,4",1018.55,Soluble,Modified structural
Starch,Storage,Plants,Glucose,"Alpha-1,4/1,6",518.03,Soluble,Energy storage
Chitin,Structural,Fungi/Exoskeletons,N-acetylglucosamine,"Beta-1,4",725.44,Insoluble,Structural support
Cellulose Sulfate,Structural,Plants (Modified),Glucose,"Beta-1,4",997.67,Soluble,Modified structural
Konjac Glucomannan,Storage,Plants,Glucose/Mannose,"Beta-1,4",1028.19,Soluble,Tuber storage
Chitin,Structural,Fungi/Exoskeletons,N-acetylglucosamine,"Beta-1,4",671.09,Insoluble,Structural support
Hyaluronic Acid,Bioactive,Animals/Bacteria,Glucuronic/Glucosamine,"Beta-1,3",1981.49,Soluble,Lubrication/ECM
Gellan Gum,Bacterial,Bacteria,Glucose/Rhamnose/GlcA,Mixed,1075.17,Soluble,Biofilm former
Inulin,Storage,Plants,Fructose,"Beta-2,1",5.47,Soluble,Fructose storage
Konjac Glucomannan,Storage,Plants,Glucose/Mannose,"Beta-1,4",935.73,Soluble,Tuber storage
Chitin,Structural,Fungi/Exoskeletons,N-acetylglucosamine,"Beta-1,4",751.87,Insoluble,Structural support
Dextran,Bacterial,Bacteria,Glucose,"Alpha-1,6",106.83,Soluble,Biofilm/Adhesion
Locust Bean Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",316.76,Soluble,Seed galactomannan
Heparin,Bioactive,Animals,Glucosamine/Uronic,"Alpha-1,4",14.62,Soluble,Anticoagulant
Hyaluronic Acid,Bioactive,Animals/Bacteria,Glucuronic/Glucosamine,"Beta-1,3",2015.75,Soluble,Lubrication/ECM
Konjac Glucomannan,Storage,Plants,Glucose/Mannose,"Beta-1,4",1084.49,Soluble,Tuber storage
Starch,Storage,Plants,Glucose,"Alpha-1,4/1,6",509.89,Soluble,Energy storage
Guar Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",198.86,Soluble,Seed endosperm reserve
Alginate,Algal,Brown Algae,Mannuronic/Guluronic,"Beta-1,4",215.15,Soluble,Structural/Protective
Dextran,Bacterial,Bacteria,Glucose,"Alpha-1,6",94.79,Soluble,Biofilm/Adhesion
Agar,Algal,Red Algae,Galactose,Mixed,161.34,Soluble (Hot),Gelling agent
Glycogen,Storage,Animals,Glucose,"Alpha-1,4/1,6",733.7,Soluble,Glucose reserve
Guar Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",233.91,Soluble,Seed endosperm reserve
Konjac Glucomannan,Storage,Plants,Glucose/Mannose,"Beta-1,4",1006.54,Soluble,Tuber storage
Heparin,Bioactive,Animals,Glucosamine/Uronic,"Alpha-1,4",13.89,Soluble,Anticoagulant
Guar Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",239.66,Soluble,Seed endosperm reserve
Hyaluronic Acid,Bioactive,Animals/Bacteria,Glucuronic/Glucosamine,"Beta-1,3",1906.02,Soluble,Lubrication/ECM
Laminarin,Algal,Brown Algae,Glucose,"Beta-1,3",4.92,Soluble,Storage in algae
Xanthan Gum,Bacterial,Bacteria,Glucose/Mannose/GlcA,Mixed,3257.35,Soluble,Stabilizer
Konjac Glucomannan,Storage,Plants,Glucose/Mannose,"Beta-1,4",1045.99,Soluble,Tuber storage
Xanthan Gum,Bacterial,Bacteria,Glucose/Mannose/GlcA,Mixed,3127.77,Soluble,Stabilizer
Carrageenan,Algal,Red Algae,Galactose,Mixed,549.51,Soluble,Cell wall support
Fucoidan,Algal,Brown Algae,Fucose/Sulfate,"Alpha-1,2/1,3",97.47,Soluble,Cell signaling
Locust Bean Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",306.99,Soluble,Seed galactomannan
Agar,Algal,Red Algae,Galactose,Mixed,141.74,Soluble (Hot),Gelling agent
Pectin,Structural,Plants,Galacturonic acid,"Alpha-1,4",72.34,Soluble,Cell wall cementing
Cellulose Sulfate,Structural,Plants (Modified),Glucose,"Beta-1,4",898.72,Soluble,Modified structural
Agar,Algal,Red Algae,Galactose,Mixed,135.22,Soluble (Hot),Gelling agent
Welan Gum,Bacterial,Bacteria,Glucose/Rhamnose,Mixed,2052.44,Soluble,Viscosity agent
Agar,Algal,Red Algae,Galactose,Mixed,137.02,Soluble (Hot),Gelling agent
Cellulose,Structural,Plants,Glucose,"Beta-1,4",1071.93,Insoluble,Cell wall support
Glycogen,Storage,Animals,Glucose,"Alpha-1,4/1,6",802.26,Soluble,Glucose reserve
Inulin,Storage,Plants,Fructose,"Beta-2,1",5.17,Soluble,Fructose storage
Xanthan Gum,Bacterial,Bacteria,Glucose/Mannose/GlcA,Mixed,3023.54,Soluble,Stabilizer
Gellan Gum,Bacterial,Bacteria,Glucose/Rhamnose/GlcA,Mixed,1087.1,Soluble,Biofilm former
Curdlan,Bacterial,Bacteria,Glucose,"Beta-1,3",75.13,Insoluble,Biofilm matrix
Agar,Algal,Red Algae,Galactose,Mixed,158.54,Soluble (Hot),Gelling agent
Levan,Bacterial,Bacteria,Fructose,"Beta-2,6",1876.16,Soluble,Carbon reserve
Chitin,Structural,Fungi/Exoskeletons,N-acetylglucosamine,"Beta-1,4",722.26,Insoluble,Structural support
Alginate,Algal,Brown Algae,Mannuronic/Guluronic,"Beta-1,4",196.94,Soluble,Structural/Protective
Pullulan,Fungal,Fungi,Glucose,"Alpha-1,4/1,6",321.83,Soluble,Capsule formation
Cellulose,Structural,Plants,Glucose,"Beta-1,4",1034.67,Insoluble,Cell wall support
Fucoidan,Algal,Brown Algae,Fucose/Sulfate,"Alpha-1,2/1,3",91.97,Soluble,Cell signaling
Carrageenan,Algal,Red Algae,Galactose,Mixed,522.82,Soluble,Cell wall support
Chitin,Structural,Fungi/Exoskeletons,N-acetylglucosamine,"Beta-1,4",664.81,Insoluble,Structural support
Xanthan Gum,Bacterial,Bacteria,Glucose/Mannose/GlcA,Mixed,3021.77,Soluble,Stabilizer
Heparin,Bioactive,Animals,Glucosamine/Uronic,"Alpha-1,4",14.77,Soluble,Anticoagulant
Inulin,Storage,Plants,Fructose,"Beta-2,1",4.96,Soluble,Fructose storage
Glycogen,Storage,Animals,Glucose,"Alpha-1,4/1,6",790.9,Soluble,Glucose reserve
Cellulose Sulfate,Structural,Plants (Modified),Glucose,"Beta-1,4",873.6,Soluble,Modified structural
Fucoidan,Algal,Brown Algae,Fucose/Sulfate,"Alpha-1,2/1,3",109.99,Soluble,Cell signaling
Starch,Storage,Plants,Glucose,"Alpha-1,4/1,6",546.9,Soluble,Energy storage
Konjac Glucomannan,Storage,Plants,Glucose/Mannose,"Beta-1,4",1069.74,Soluble,Tuber storage
Hyaluronic Acid,Bioactive,Animals/Bacteria,Glucuronic/Glucosamine,"Beta-1,3",1962.57,Soluble,Lubrication/ECM
Guar Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",207.4,Soluble,Seed endosperm reserve
Carrageenan,Algal,Red Algae,Galactose,Mixed,540.24,Soluble,Cell wall support
Hyaluronic Acid,Bioactive,Animals/Bacteria,Glucuronic/Glucosamine,"Beta-1,3",1951.59,Soluble,Lubrication/ECM
Carrageenan,Algal,Red Algae,Galactose,Mixed,476.52,Soluble,Cell wall support
Pullulan,Fungal,Fungi,Glucose,"Alpha-1,4/1,6",287.11,Soluble,Capsule formation
Welan Gum,Bacterial,Bacteria,Glucose/Rhamnose,Mixed,2182.93,Soluble,Viscosity agent
Cellulose Sulfate,Structural,Plants (Modified),Glucose,"Beta-1,4",980.76,Soluble,Modified structural
Guar Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",204.81,Soluble,Seed endosperm reserve
Dextran,Bacterial,Bacteria,Glucose,"Alpha-1,6",94.35,Soluble,Biofilm/Adhesion
Cellulose,Structural,Plants,Glucose,"Beta-1,4",1015.84,Insoluble,Cell wall support
Cellulose Sulfate,Structural,Plants (Modified),Glucose,"Beta-1,4",866.58,Soluble,Modified structural
Pectin,Structural,Plants,Galacturonic acid,"Alpha-1,4",72.91,Soluble,Cell wall cementing
Curdlan,Bacterial,Bacteria,Glucose,"Beta-1,3",73.66,Insoluble,Biofilm matrix
Locust Bean Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",288.76,Soluble,Seed galactomannan
Locust Bean Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",283.97,Soluble,Seed galactomannan
Hyaluronic Acid,Bioactive,Animals/Bacteria,Glucuronic/Glucosamine,"Beta-1,3",1827.41,Soluble,Lubrication/ECM
Glycogen,Storage,Animals,Glucose,"Alpha-1,4/1,6",828.03,Soluble,Glucose reserve
Agar,Algal,Red Algae,Galactose,Mixed,147.11,Soluble (Hot),Gelling agent
Curdlan,Bacterial,Bacteria,Glucose,"Beta-1,3",70.24,Insoluble,Biofilm matrix
Laminarin,Algal,Brown Algae,Glucose,"Beta-1,3",4.54,Soluble,Storage in algae
Glycogen,Storage,Animals,Glucose,"Alpha-1,4/1,6",787.08,Soluble,Glucose reserve
Curdlan,Bacterial,Bacteria,Glucose,"Beta-1,3",74.97,Insoluble,Biofilm matrix
Pectin,Structural,Plants,Galacturonic acid,"Alpha-1,4",86.96,Soluble,Cell wall cementing
Xanthan Gum,Bacterial,Bacteria,Glucose/Mannose/GlcA,Mixed,3101.84,Soluble,Stabilizer
Pectin,Structural,Plants,Galacturonic acid,"Alpha-1,4",75.82,Soluble,Cell wall cementing
Carrageenan,Algal,Red Algae,Galactose,Mixed,463.09,Soluble,Cell wall support
Fucoidan,Algal,Brown Algae,Fucose/Sulfate,"Alpha-1,2/1,3",96.0,Soluble,Cell signaling
Pectin,Structural,Plants,Galacturonic acid,"Alpha-1,4",86.86,Soluble,Cell wall cementing
Glycogen,Storage,Animals,Glucose,"Alpha-1,4/1,6",721.49,Soluble,Glucose reserve
Laminarin,Algal,Brown Algae,Glucose,"Beta-1,3",5.5,Soluble,Storage in algae
Chitin,Structural,Fungi/Exoskeletons,N-acetylglucosamine,"Beta-1,4",640.26,Insoluble,Structural support
Xanthan Gum,Bacterial,Bacteria,Glucose/Mannose/GlcA,Mixed,3003.53,Soluble,Stabilizer
Heparin,Bioactive,Animals,Glucosamine/Uronic,"Alpha-1,4",16.3,Soluble,Anticoagulant
Glycogen,Storage,Animals,Glucose,"Alpha-1,4/1,6",860.68,Soluble,Glucose reserve
Alginate,Algal,Brown Algae,Mannuronic/Guluronic,"Beta-1,4",191.4,Soluble,Structural/Protective
Pullulan,Fungal,Fungi,Glucose,"Alpha-1,4/1,6",320.02,Soluble,Capsule formation
Welan Gum,Bacterial,Bacteria,Glucose/Rhamnose,Mixed,1921.01,Soluble,Viscosity agent
Fucoidan,Algal,Brown Algae,Fucose/Sulfate,"Alpha-1,2/1,3",100.58,Soluble,Cell signaling
Scleroglucan,Fungal,Fungi,Glucose,"Beta-1,3/1,6",1276.1,Soluble,Structural/Protective
Dextran,Bacterial,Bacteria,Glucose,"Alpha-1,6",108.64,Soluble,Biofilm/Adhesion
Chitin,Structural,Fungi/Exoskeletons,N-acetylglucosamine,"Beta-1,4",761.45,Insoluble,Structural support
Heparin,Bioactive,Animals,Glucosamine/Uronic,"Alpha-1,4",14.29,Soluble,Anticoagulant
Chitin,Structural,Fungi/Exoskeletons,N-acetylglucosamine,"Beta-1,4",733.94,Insoluble,Structural support
Heparin,Bioactive,Animals,Glucosamine/Uronic,"Alpha-1,4",14.32,Soluble,Anticoagulant
Laminarin,Algal,Brown Algae,Glucose,"Beta-1,3",4.71,Soluble,Storage in algae
Pectin,Structural,Plants,Galacturonic acid,"Alpha-1,4",75.26,Soluble,Cell wall cementing
Fucoidan,Algal,Brown Algae,Fucose/Sulfate,"Alpha-1,2/1,3",107.06,Soluble,Cell signaling
Locust Bean Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",309.29,Soluble,Seed galactomannan
Cellulose,Structural,Plants,Glucose,"Beta-1,4",918.46,Insoluble,Cell wall support
Levan,Bacterial,Bacteria,Fructose,"Beta-2,6",2131.74,Soluble,Carbon reserve
Cellulose,Structural,Plants,Glucose,"Beta-1,4",900.71,Insoluble,Cell wall support
Konjac Glucomannan,Storage,Plants,Glucose/Mannose,"Beta-1,4",926.16,Soluble,Tuber storage
Inulin,Storage,Plants,Fructose,"Beta-2,1",4.66,Soluble,Fructose storage
Pullulan,Fungal,Fungi,Glucose,"Alpha-1,4/1,6",303.1,Soluble,Capsule formation
Levan,Bacterial,Bacteria,Fructose,"Beta-2,6",2024.36,Soluble,Carbon reserve
Chitin,Structural,Fungi/Exoskeletons,N-acetylglucosamine,"Beta-1,4",640.53,Insoluble,Structural support
Welan Gum,Bacterial,Bacteria,Glucose/Rhamnose,Mixed,2161.57,Soluble,Viscosity agent
Cellulose Sulfate,Structural,Plants (Modified),Glucose,"Beta-1,4",861.85,Soluble,Modified structural
Alginate,Algal,Brown Algae,Mannuronic/Guluronic,"Beta-1,4",203.3,Soluble,Structural/Protective
Heparin,Bioactive,Animals,Glucosamine/Uronic,"Alpha-1,4",14.79,Soluble,Anticoagulant
Cellulose,Structural,Plants,Glucose,"Beta-1,4",961.65,Insoluble,Cell wall support
Cellulose,Structural,Plants,Glucose,"Beta-1,4",1079.78,Insoluble,Cell wall support
Xanthan Gum,Bacterial,Bacteria,Glucose/Mannose/GlcA,Mixed,3109.24,Soluble,Stabilizer
Scleroglucan,Fungal,Fungi,Glucose,"Beta-1,3/1,6",1104.67,Soluble,Structural/Protective
Konjac Glucomannan,Storage,Plants,Glucose/Mannose,"Beta-1,4",1011.98,Soluble,Tuber storage
Levan,Bacterial,Bacteria,Fructose,"Beta-2,6",2189.53,Soluble,Carbon reserve
Gellan Gum,Bacterial,Bacteria,Glucose/Rhamnose/GlcA,Mixed,930.91,Soluble,Biofilm former
Agar,Algal,Red Algae,Galactose,Mixed,160.94,Soluble (Hot),Gelling agent
Hyaluronic Acid,Bioactive,Animals/Bacteria,Glucuronic/Glucosamine,"Beta-1,3",2152.57,Soluble,Lubrication/ECM
Starch,Storage,Plants,Glucose,"Alpha-1,4/1,6",467.94,Soluble,Energy storage
Pectin,Structural,Plants,Galacturonic acid,"Alpha-1,4",84.52,Soluble,Cell wall cementing
Levan,Bacterial,Bacteria,Fructose,"Beta-2,6",2120.89,Soluble,Carbon reserve
Gellan Gum,Bacterial,Bacteria,Glucose/Rhamnose/GlcA,Mixed,1062.15,Soluble,Biofilm former
Welan Gum,Bacterial,Bacteria,Glucose/Rhamnose,Mixed,1843.24,Soluble,Viscosity agent
Cellulose,Structural,Plants,Glucose,"Beta-1,4",1071.72,Insoluble,Cell wall support
