name,category,primary_monomer,secondary_monomer,bond_type,glycosidic_linkage,molecular_formula_repeat,degree_of_acetylation,degree_of_sulfation,carbon_content_percent,hydrogen_content_percent,oxygen_content_percent,molecular_weight_kda
Xanthan Gum,Bacterial,Glucose,Mannose,Mixed,"1,3",C8H15NO6,59.0,0.37,49.5,7.0,50.8,3014.85
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3",Mixed,C6H11O6,12.0,1.47,44.1,8.0,48.2,1814.59
Glycogen,Storage,Glucose,None,"Alpha-1,4/1,6",Mixed,C6H9O7Na,47.8,1.53,49.2,5.1,48.8,780.8
Chitin,Structural,N-acetylglucosamine,None,"Beta-1,4","1,4",C6H9O7Na,94.6,2.51,41.5,8.4,48.0,804.94
Glycogen,Storage,Glucose,None,"Alpha-1,4/1,6","2,6",C8H15NO6,87.6,0.05,49.5,7.9,54.0,690.89
Agar,Algal,Galactose,None,Mixed,"1,3",C6H10O5,12.8,0.47,45.4,8.0,45.6,163.61
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,"2,6",C6H9O7Na,37.2,1.24,37.4,5.7,54.4,1139.59
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,Mixed,C6H11O6,36.5,2.77,46.8,5.1,47.0,971.1
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4",Mixed,C6H9O7Na,62.2,0.09,35.4,5.1,49.7,214.1
Heparin,Bioactive,Glucosamine,Uronic,"Alpha-1,4","1,6",C6H10O5,53.9,2.29,45.8,5.7,46.0,14.32
Agar,Algal,Galactose,None,Mixed,"1,2",C8H15NO6,98.8,0.34,42.1,8.9,53.6,151.65
Heparin,Bioactive,Glucosamine,Uronic,"Alpha-1,4",Mixed,C6H10O5,31.1,1.41,48.5,5.5,51.6,14.4
Laminarin,Algal,Glucose,None,"Beta-1,3","2,6",C6H10O5,47.8,2.25,47.8,5.8,47.2,4.44
Heparin,Bioactive,Glucosamine,Uronic,"Alpha-1,4","1,3",C6H10O5,74.3,2.15,39.2,7.5,47.5,13.88
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,"2,6",C6H9O7Na,32.9,2.92,45.0,7.1,50.8,1115.07
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","1,3",C6H9O7Na,42.2,1.98,43.7,8.7,45.3,1121.8
Carrageenan,Algal,Galactose,None,Mixed,"2,6",C6H10O5,79.4,2.94,35.2,7.5,53.4,460.67
Carrageenan,Algal,Galactose,None,Mixed,"1,4",C6H10O5,57.2,1.45,40.2,7.5,53.2,511.58
Pullulan,Fungal,Glucose,None,"Alpha-1,4/1,6","1,3",C8H15NO6,62.1,1.64,36.8,6.1,52.7,338.15
Pectin,Structural,Galacturonic acid,None,"Alpha-1,4","1,3",C6H9O7Na,34.1,2.62,46.6,6.8,46.0,88.55
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","2,1",C6H9O7Na,6.3,1.1,44.6,8.9,46.3,918.14
Pullulan,Fungal,Glucose,None,"Alpha-1,4/1,6",Mixed,C6H10O5,12.0,2.14,36.9,6.4,49.5,304.8
Glycogen,Storage,Glucose,None,"Alpha-1,4/1,6",Mixed,C6H11O6,39.8,2.82,50.0,5.8,53.4,733.25
Starch,Storage,Glucose,None,"Alpha-1,4/1,6","1,3",C6H9O7Na,52.6,2.34,43.4,7.1,45.5,504.97
Cellulose Sulfate,Structural,Glucose,None,"Beta-1,4","1,3",C6H11O6,37.4,0.3,37.5,7.5,51.2,1047.82
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","2,6",C6H11O6,54.1,2.87,41.4,5.8,45.5,1140.74
Carrageenan,Algal,Galactose,None,Mixed,"1,4",C8H15NO6,90.1,2.92,48.4,6.9,46.4,565.72
Starch,Storage,Glucose,None,"Alpha-1,4/1,6","1,2",C6H9O7Na,70.8,2.0,38.1,7.9,50.9,435.02
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","1,6",C6H11O6,14.4,2.47,46.5,8.2,54.5,922.74
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3","2,6",C8H15NO6,39.1,0.58,47.5,5.3,54.6,1865.73
Carrageenan,Algal,Galactose,None,Mixed,"1,2",C6H11O6,20.6,0.43,39.1,6.3,51.4,503.09
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4","1,2",C8H15NO6,23.2,1.31,47.3,7.2,51.1,277.79
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","2,6",C6H9O7Na,87.5,2.85,35.6,8.4,47.6,1038.07
Levan,Bacterial,Fructose,None,"Beta-2,6","2,1",C6H11O6,87.6,2.07,46.9,8.0,47.2,1761.83
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,"2,1",C6H9O7Na,24.1,2.55,42.4,7.8,49.3,867.0
Chitin,Structural,N-acetylglucosamine,None,"Beta-1,4",Mixed,C6H9O7Na,84.2,2.2,48.6,7.6,48.3,735.07
Inulin,Storage,Fructose,None,"Beta-2,1","1,4",C6H10O5,1.3,2.14,42.3,7.3,47.2,4.9
Inulin,Storage,Fructose,None,"Beta-2,1","1,2",C8H15NO6,56.1,2.51,40.6,7.1,54.3,4.82
Laminarin,Algal,Glucose,None,"Beta-1,3","1,2",C6H10O5,57.6,0.35,46.5,6.4,51.7,5.61
Levan,Bacterial,Fructose,None,"Beta-2,6",Mixed,C8H15NO6,71.8,0.12,44.7,6.8,49.6,2218.05
Cellulose,Structural,Glucose,None,"Beta-1,4","1,6",C8H15NO6,66.9,0.08,43.5,5.1,54.5,879.64
Levan,Bacterial,Fructose,None,"Beta-2,6",Mixed,C6H10O5,72.9,2.55,38.8,8.3,48.4,2284.15
Agar,Algal,Galactose,None,Mixed,"1,4",C8H15NO6,78.4,0.97,45.5,7.5,52.7,134.73
Cellulose Sulfate,Structural,Glucose,None,"Beta-1,4",Mixed,C6H9O7Na,74.1,2.26,46.7,5.7,50.0,832.83
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4","2,1",C6H11O6,31.7,0.92,48.7,5.4,49.1,207.31
Fucoidan,Algal,Fucose,Sulfate,"Alpha-1,2/1,3","1,3",C8H15NO6,20.2,2.57,42.3,6.3,49.4,95.84
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3","1,3",C6H9O7Na,1.6,0.57,39.7,7.0,51.4,1877.72
Cellulose Sulfate,Structural,Glucose,None,"Beta-1,4","2,1",C6H11O6,39.8,2.09,38.0,5.4,51.0,1057.43
Carrageenan,Algal,Galactose,None,Mixed,Mixed,C6H9O7Na,14.6,1.02,40.3,5.5,48.9,551.75
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,Mixed,C6H9O7Na,61.3,2.91,39.9,5.9,53.3,923.77
Heparin,Bioactive,Glucosamine,Uronic,"Alpha-1,4","2,6",C6H9O7Na,2.6,0.67,45.4,5.9,53.8,14.73
Xanthan Gum,Bacterial,Glucose,Mannose,Mixed,"1,3",C6H10O5,29.7,2.89,47.9,6.9,49.4,3050.69
Curdlan,Bacterial,Glucose,None,"Beta-1,3","1,3",C8H15NO6,18.6,1.56,41.0,7.3,54.0,71.49
Inulin,Storage,Fructose,None,"Beta-2,1","2,6",C6H9O7Na,80.3,0.79,40.6,8.6,54.4,4.73
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4","1,2",C6H11O6,32.2,2.48,45.5,8.2,50.8,175.8
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4","2,6",C8H15NO6,53.5,0.31,47.4,5.9,48.5,328.8
Cellulose Sulfate,Structural,Glucose,None,"Beta-1,4",Mixed,C6H11O6,46.5,1.72,35.8,7.5,50.0,931.81
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3","1,2",C8H15NO6,55.9,0.17,40.2,8.5,46.5,2109.2
Glycogen,Storage,Glucose,None,"Alpha-1,4/1,6","2,6",C6H9O7Na,57.0,2.84,45.9,7.9,49.9,849.01
Heparin,Bioactive,Glucosamine,Uronic,"Alpha-1,4","1,6",C6H11O6,66.2,0.93,45.5,6.2,47.3,16.34
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4","1,6",C6H11O6,76.6,2.94,43.8,8.5,54.7,268.43
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","1,4",C6H10O5,77.5,0.21,36.0,6.7,46.6,908.39
Laminarin,Algal,Glucose,None,"Beta-1,3",Mixed,C6H11O6,83.6,0.09,48.9,7.9,48.3,4.39
Carrageenan,Algal,Galactose,None,Mixed,"2,1",C8H15NO6,80.5,1.14,42.1,8.4,46.8,471.68
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3","2,6",C8H15NO6,87.9,1.5,37.8,6.6,47.3,2291.38
Fucoidan,Algal,Fucose,Sulfate,"Alpha-1,2/1,3","1,2",C6H9O7Na,45.2,0.28,38.9,8.5,45.6,101.71
Scleroglucan,Fungal,Glucose,None,"Beta-1,3/1,6","1,4",C6H10O5,16.9,2.89,42.9,5.0,48.8,1029.96
Curdlan,Bacterial,Glucose,None,"Beta-1,3","2,1",C6H9O7Na,85.9,2.87,37.8,7.5,46.8,67.75
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4","1,2",C6H11O6,60.0,1.72,48.4,7.8,53.8,180.65
Heparin,Bioactive,Glucosamine,Uronic,"Alpha-1,4",Mixed,C8H15NO6,3.0,0.12,43.1,8.8,54.4,16.38
Dextran,Bacterial,Glucose,None,"Alpha-1,6","1,4",C6H10O5,34.9,0.54,42.8,8.6,50.0,103.11
Laminarin,Algal,Glucose,None,"Beta-1,3","1,4",C8H15NO6,92.9,1.64,40.8,6.8,46.2,5.08
Pectin,Structural,Galacturonic acid,None,"Alpha-1,4","1,3",C6H9O7Na,14.1,2.88,42.4,8.2,45.4,69.41
Guar Gum,Storage,Mannose,Galactose,"Beta-1,4",Mixed,C6H10O5,84.8,0.27,44.8,8.6,50.6,233.35
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4","1,6",C6H11O6,28.3,0.41,46.5,6.2,51.3,301.09
Carrageenan,Algal,Galactose,None,Mixed,"1,2",C8H15NO6,2.4,0.31,43.4,7.4,48.1,573.84
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","1,4",C6H10O5,52.8,0.12,49.2,6.2,50.9,1120.08
Cellulose Sulfate,Structural,Glucose,None,"Beta-1,4","1,3",C6H9O7Na,73.9,1.6,35.7,6.2,46.9,1082.29
Cellulose,Structural,Glucose,None,"Beta-1,4",Mixed,C8H15NO6,73.9,1.57,37.7,6.5,52.0,1123.2
Chitin,Structural,N-acetylglucosamine,None,"Beta-1,4","1,6",C6H11O6,89.2,2.14,36.1,5.8,47.1,729.49
Starch,Storage,Glucose,None,"Alpha-1,4/1,6","1,2",C8H15NO6,20.6,2.07,48.9,5.0,47.4,547.05
Pectin,Structural,Galacturonic acid,None,"Alpha-1,4","1,3",C8H15NO6,82.7,1.12,47.6,5.2,46.4,73.91
Scleroglucan,Fungal,Glucose,None,"Beta-1,3/1,6","1,4",C8H15NO6,68.0,2.13,48.5,6.2,54.4,1255.2
Inulin,Storage,Fructose,None,"Beta-2,1","1,6",C6H10O5,41.6,1.24,39.2,8.6,53.2,4.98
Laminarin,Algal,Glucose,None,"Beta-1,3","1,2",C8H15NO6,4.2,2.3,36.9,7.8,45.7,4.42
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3",Mixed,C8H15NO6,6.7,1.61,37.5,8.0,54.6,2129.01
Welan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,6",C6H9O7Na,53.6,0.85,43.6,5.4,46.2,2193.73
Xanthan Gum,Bacterial,Glucose,Mannose,Mixed,"1,2",C8H15NO6,20.1,1.55,35.5,6.9,46.1,2584.23
Carrageenan,Algal,Galactose,None,Mixed,"1,3",C6H10O5,76.3,2.42,38.6,7.5,49.4,446.41
Laminarin,Algal,Glucose,None,"Beta-1,3",Mixed,C6H10O5,66.3,1.51,49.6,8.1,52.2,4.32
Starch,Storage,Glucose,None,"Alpha-1,4/1,6","1,3",C6H9O7Na,85.9,0.75,37.6,6.8,54.0,433.46
Carrageenan,Algal,Galactose,None,Mixed,"1,3",C6H9O7Na,50.6,0.68,44.4,6.3,52.2,428.8
Pullulan,Fungal,Glucose,None,"Alpha-1,4/1,6","1,2",C6H11O6,60.2,0.86,37.4,7.2,48.2,265.02
Glycogen,Storage,Glucose,None,"Alpha-1,4/1,6","1,6",C6H10O5,61.9,0.51,49.0,6.5,46.4,704.91
Agar,Algal,Galactose,None,Mixed,"1,2",C8H15NO6,0.3,0.18,40.8,7.3,53.6,161.8
Cellulose,Structural,Glucose,None,"Beta-1,4","2,1",C6H10O5,2.0,2.47,42.1,7.3,48.9,1055.68
Carrageenan,Algal,Galactose,None,Mixed,"1,6",C6H11O6,68.3,1.84,40.2,9.0,49.5,562.91
Heparin,Bioactive,Glucosamine,Uronic,"Alpha-1,4","1,6",C6H9O7Na,22.4,0.86,46.0,8.9,48.9,13.91
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3","1,4",C6H10O5,43.2,0.9,35.6,6.6,53.8,2211.01
Carrageenan,Algal,Galactose,None,Mixed,"1,3",C6H9O7Na,20.8,1.22,48.3,6.8,49.5,567.86
Pullulan,Fungal,Glucose,None,"Alpha-1,4/1,6","1,4",C6H9O7Na,32.6,1.2,45.8,5.8,47.2,272.19
Xanthan Gum,Bacterial,Glucose,Mannose,Mixed,Mixed,C6H9O7Na,90.0,1.64,46.5,6.6,51.4,2742.16
Heparin,Bioactive,Glucosamine,Uronic,"Alpha-1,4","1,6",C6H10O5,54.3,1.36,48.6,8.8,53.7,14.6
Xanthan Gum,Bacterial,Glucose,Mannose,Mixed,"1,3",C6H9O7Na,55.2,0.47,40.8,7.1,46.8,2948.68
Welan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,3",C8H15NO6,56.7,0.52,49.8,7.7,52.7,2084.74
Curdlan,Bacterial,Glucose,None,"Beta-1,3",Mixed,C6H11O6,15.1,0.95,38.7,8.0,52.6,73.7
Laminarin,Algal,Glucose,None,"Beta-1,3",Mixed,C6H10O5,67.6,2.36,36.3,5.0,53.6,4.33
Glycogen,Storage,Glucose,None,"Alpha-1,4/1,6","1,4",C6H9O7Na,20.3,0.45,38.2,8.4,48.6,898.22
Curdlan,Bacterial,Glucose,None,"Beta-1,3",Mixed,C8H15NO6,47.5,2.11,39.3,5.4,50.6,82.9
Heparin,Bioactive,Glucosamine,Uronic,"Alpha-1,4","1,3",C8H15NO6,11.8,2.73,41.1,7.2,51.3,15.9
Inulin,Storage,Fructose,None,"Beta-2,1","2,6",C6H11O6,97.6,1.99,37.2,6.8,52.6,4.45
Carrageenan,Algal,Galactose,None,Mixed,"1,6",C8H15NO6,47.7,2.3,43.8,9.0,48.6,491.14
Curdlan,Bacterial,Glucose,None,"Beta-1,3","1,3",C8H15NO6,89.4,2.91,49.2,7.3,53.9,84.83
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4","1,2",C6H11O6,13.5,0.9,40.9,5.6,54.9,217.46
Scleroglucan,Fungal,Glucose,None,"Beta-1,3/1,6","1,3",C6H9O7Na,29.2,2.38,46.8,6.4,54.8,1198.11
Laminarin,Algal,Glucose,None,"Beta-1,3","2,1",C8H15NO6,99.2,1.1,38.8,7.1,54.8,5.61
Starch,Storage,Glucose,None,"Alpha-1,4/1,6","1,6",C6H9O7Na,90.6,0.16,38.6,6.2,49.5,489.94
Cellulose,Structural,Glucose,None,"Beta-1,4","1,4",C8H15NO6,65.9,1.0,35.5,8.5,54.3,853.2
Curdlan,Bacterial,Glucose,None,"Beta-1,3","1,2",C6H9O7Na,38.1,2.71,40.7,5.1,51.7,78.37
Pectin,Structural,Galacturonic acid,None,"Alpha-1,4","1,4",C8H15NO6,40.7,1.03,49.1,7.9,50.5,79.73
Inulin,Storage,Fructose,None,"Beta-2,1","1,2",C8H15NO6,91.9,0.25,45.0,6.3,50.1,4.42
Heparin,Bioactive,Glucosamine,Uronic,"Alpha-1,4",Mixed,C6H10O5,24.3,0.53,36.0,7.3,47.4,13.14
Glycogen,Storage,Glucose,None,"Alpha-1,4/1,6","1,2",C6H10O5,73.7,1.02,48.6,5.3,50.8,911.75
Pullulan,Fungal,Glucose,None,"Alpha-1,4/1,6","2,6",C6H9O7Na,78.6,0.32,36.8,7.8,47.0,322.15
Glycogen,Storage,Glucose,None,"Alpha-1,4/1,6","1,3",C6H10O5,71.8,0.27,41.5,7.7,47.1,852.08
Carrageenan,Algal,Galactose,None,Mixed,"1,4",C6H11O6,47.6,0.59,49.8,7.4,46.9,468.21
Scleroglucan,Fungal,Glucose,None,"Beta-1,3/1,6","2,1",C6H10O5,44.3,1.52,36.2,8.9,47.6,1336.14
Curdlan,Bacterial,Glucose,None,"Beta-1,3","1,3",C6H10O5,70.3,0.23,37.8,6.3,54.9,66.51
Fucoidan,Algal,Fucose,Sulfate,"Alpha-1,2/1,3",Mixed,C6H9O7Na,60.2,1.52,39.3,6.7,53.2,107.06
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4","1,2",C6H9O7Na,28.1,0.48,35.9,7.0,54.0,269.12
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4",Mixed,C8H15NO6,8.0,2.29,45.7,5.0,52.4,876.47
Curdlan,Bacterial,Glucose,None,"Beta-1,3",Mixed,C6H9O7Na,69.8,1.82,49.4,7.3,52.3,69.98
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4","2,6",C8H15NO6,37.0,0.9,42.3,7.2,52.4,183.69
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3","1,2",C6H9O7Na,41.0,2.64,39.9,8.2,54.5,1941.95
Pullulan,Fungal,Glucose,None,"Alpha-1,4/1,6","1,6",C6H11O6,14.2,2.25,41.3,5.1,46.4,283.51
Fucoidan,Algal,Fucose,Sulfate,"Alpha-1,2/1,3","1,3",C8H15NO6,36.6,1.3,47.3,8.6,46.5,113.38
Xanthan Gum,Bacterial,Glucose,Mannose,Mixed,"1,2",C6H10O5,39.1,0.45,40.1,5.1,48.9,2823.17
Cellulose Sulfate,Structural,Glucose,None,"Beta-1,4","1,4",C6H11O6,19.0,1.82,42.5,6.7,53.5,946.39
Scleroglucan,Fungal,Glucose,None,"Beta-1,3/1,6","1,2",C6H9O7Na,96.1,0.2,39.8,6.9,47.9,1104.65
Guar Gum,Storage,Mannose,Galactose,"Beta-1,4",Mixed,C6H11O6,41.6,0.04,39.6,5.6,51.3,232.15
Levan,Bacterial,Fructose,None,"Beta-2,6","2,1",C6H10O5,59.9,1.59,40.1,6.5,51.9,1776.88
Curdlan,Bacterial,Glucose,None,"Beta-1,3","1,6",C6H10O5,1.8,1.11,38.7,8.8,51.9,83.11
Pectin,Structural,Galacturonic acid,None,"Alpha-1,4","2,6",C8H15NO6,78.7,1.66,43.7,6.3,46.9,71.05
Pectin,Structural,Galacturonic acid,None,"Alpha-1,4",Mixed,C6H11O6,70.8,1.83,47.2,6.0,50.6,89.37
Pectin,Structural,Galacturonic acid,None,"Alpha-1,4","2,1",C6H10O5,38.4,0.45,39.8,7.1,49.6,89.61
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,4",C6H10O5,44.9,2.33,46.9,6.1,46.4,1104.33
Cellulose,Structural,Glucose,None,"Beta-1,4","1,6",C6H11O6,22.3,0.01,40.3,7.5,50.6,1085.11
Pectin,Structural,Galacturonic acid,None,"Alpha-1,4","1,6",C6H9O7Na,60.5,1.61,47.4,7.6,54.6,82.34
Chitin,Structural,N-acetylglucosamine,None,"Beta-1,4","1,4",C6H10O5,73.5,0.58,47.0,6.1,52.9,683.83
Starch,Storage,Glucose,None,"Alpha-1,4/1,6","1,4",C6H9O7Na,20.4,0.89,35.4,7.6,49.2,480.29
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","1,3",C8H15NO6,62.6,1.67,43.9,8.0,46.1,932.07
Inulin,Storage,Fructose,None,"Beta-2,1","1,3",C8H15NO6,28.5,1.76,39.8,5.1,45.5,4.74
Guar Gum,Storage,Mannose,Galactose,"Beta-1,4","1,4",C6H11O6,31.5,2.16,43.3,7.5,51.5,213.11
Pectin,Structural,Galacturonic acid,None,"Alpha-1,4","2,1",C6H10O5,64.4,0.97,46.3,5.2,50.1,85.35
Welan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,3",C8H15NO6,6.4,0.2,37.3,7.1,54.4,1841.01
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","1,4",C6H9O7Na,33.8,1.24,46.3,7.0,50.5,1007.4
Fucoidan,Algal,Fucose,Sulfate,"Alpha-1,2/1,3",Mixed,C8H15NO6,69.5,1.64,36.3,5.8,46.6,107.88
Inulin,Storage,Fructose,None,"Beta-2,1","1,3",C6H11O6,5.7,2.05,35.4,7.6,52.0,4.97
Cellulose,Structural,Glucose,None,"Beta-1,4","1,3",C6H11O6,95.0,2.86,37.1,6.3,48.9,1040.3
Carrageenan,Algal,Galactose,None,Mixed,"1,2",C6H9O7Na,49.2,2.01,45.5,7.2,45.4,513.45
Xanthan Gum,Bacterial,Glucose,Mannose,Mixed,"1,3",C8H15NO6,0.7,2.11,43.7,6.5,54.0,2697.76
Xanthan Gum,Bacterial,Glucose,Mannose,Mixed,"1,3",C6H10O5,91.5,2.23,39.2,7.2,50.1,2693.88
Xanthan Gum,Bacterial,Glucose,Mannose,Mixed,Mixed,C6H9O7Na,33.4,0.98,38.9,5.5,47.9,2575.94
Laminarin,Algal,Glucose,None,"Beta-1,3","2,6",C8H15NO6,20.5,0.34,40.8,5.4,54.3,4.56
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","2,1",C6H9O7Na,83.3,2.02,48.3,8.3,48.6,866.31
Fucoidan,Algal,Fucose,Sulfate,"Alpha-1,2/1,3","1,3",C6H9O7Na,21.7,0.07,35.2,8.3,53.6,91.19
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,6",C6H9O7Na,45.8,1.17,46.3,8.7,49.8,1029.02
Scleroglucan,Fungal,Glucose,None,"Beta-1,3/1,6",Mixed,C6H11O6,7.8,0.32,35.0,5.1,45.5,1024.04
Inulin,Storage,Fructose,None,"Beta-2,1","1,2",C6H9O7Na,44.5,2.19,49.4,5.4,48.7,5.22
Levan,Bacterial,Fructose,None,"Beta-2,6","2,6",C6H9O7Na,7.6,1.25,35.3,8.1,54.0,1881.23
Inulin,Storage,Fructose,None,"Beta-2,1","1,6",C6H11O6,12.0,1.91,49.3,8.2,53.8,5.65
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3","1,2",C6H10O5,8.6,0.7,48.0,7.3,50.6,1862.04
Welan Gum,Bacterial,Glucose,Rhamnose,Mixed,"2,1",C8H15NO6,6.3,2.08,38.2,6.6,48.8,1722.3
Levan,Bacterial,Fructose,None,"Beta-2,6",Mixed,C8H15NO6,41.2,2.92,43.7,5.2,45.6,2161.72
Inulin,Storage,Fructose,None,"Beta-2,1","2,6",C6H9O7Na,71.9,0.61,39.0,7.7,54.6,4.53
Welan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,6",C6H10O5,99.6,0.13,43.4,8.4,50.6,2121.77
Agar,Algal,Galactose,None,Mixed,"2,6",C6H10O5,28.7,0.27,40.5,8.3,50.4,144.3
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4","2,6",C6H11O6,32.1,1.92,41.1,7.3,48.7,229.01
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","1,4",C6H11O6,81.4,2.25,42.4,7.2,48.6,979.51
Laminarin,Algal,Glucose,None,"Beta-1,3","1,4",C6H11O6,33.3,1.08,42.0,8.0,53.6,4.5
Cellulose,Structural,Glucose,None,"Beta-1,4","1,4",C6H11O6,59.9,1.62,47.5,5.6,53.0,891.86
Xanthan Gum,Bacterial,Glucose,Mannose,Mixed,Mixed,C8H15NO6,8.2,1.26,36.7,7.0,45.4,2643.43
Starch,Storage,Glucose,None,"Alpha-1,4/1,6","1,4",C6H11O6,74.0,2.05,46.8,7.0,48.3,550.47
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4","2,1",C8H15NO6,52.3,2.46,38.3,6.4,49.1,215.09
Chitin,Structural,N-acetylglucosamine,None,"Beta-1,4","1,3",C8H15NO6,15.6,2.08,46.3,7.9,53.9,798.55
Chitin,Structural,N-acetylglucosamine,None,"Beta-1,4","1,6",C6H11O6,91.6,2.08,39.6,8.0,48.0,638.94
