carbohydrate_class,subtype,example,monomer_backbone,degree_of_polymerization,molecular_weight_kda,reducing_end,category
Disaccharide,Non-reducing,Fructose,Mannose,5509,4.9079,No,Simple_Carbohydrate
Disaccharide,Non-reducing,Sucrose,Mixed,443,9.8091,No,Simple_Carbohydrate
Monosaccharide,Hexose,Ribose,Mannose,2979,4.3433,Yes,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Maltose,Galactose,5531,2.1954,No,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Maltose,Mannose,319,8.3656,Yes,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Ribose,Glucose,510,0.7793,Yes,Simple_Carbohydrate
Disaccharide,Reducing,Lactose,Fructose,7760,1.6086,Yes,Simple_Carbohydrate
Disaccharide,Non-reducing,Ribose,Galactose,2751,2.6368,Yes,Simple_Carbohydrate
Disaccharide,Non-reducing,Glucose,Galactose,9435,5.829,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Glycogen,Fructose,1671,1780.37,No,Fungal
Monosaccharide,Hexose,Maltose,Galactose,1131,5.3742,No,Simple_Carbohydrate
Monosaccharide,Pentose,Raffinose,Mannose,5936,4.953,No,Simple_Carbohydrate
Disaccharide,Non-reducing,Sucrose,Galactose,8819,7.3646,No,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Gellan Gum,Galactose,4024,1781.5,Yes,Bioactive
Polysaccharide,Homopolysaccharide,Konjac Glucomannan,Mixed,6211,1399.48,No,Storage
Polysaccharide,Heteropolysaccharide,Hyaluronic Acid,Galactose,4234,1467.77,No,Bioactive
Oligosaccharide,Fructooligosaccharide,Lactose,Glucose,3956,9.4858,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Welan Gum,Mannose,7344,1433.52,Yes,Storage
Oligosaccharide,Fructooligosaccharide,Fructose,Galactose,9530,6.9487,No,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Levan,Mixed,5421,2989.93,No,Fungal
Polysaccharide,Heteropolysaccharide,Dextran,Glucose,3157,761.7,No,Storage
Disaccharide,Reducing,Sucrose,Galactose,9661,7.4122,No,Simple_Carbohydrate
Monosaccharide,Hexose,Maltose,Fructose,4954,2.3521,Yes,Simple_Carbohydrate
Disaccharide,Non-reducing,Glucose,Mixed,4788,9.7455,Yes,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Starch,Mannose,7845,1726.45,No,Bioactive
Disaccharide,Reducing,Maltose,Mannose,1871,9.4165,Yes,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Glycogen,Glucose,2487,1735.29,Yes,Algal
Oligosaccharide,Fructooligosaccharide,Sucrose,Mannose,9935,1.2727,Yes,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Pullulan,Mixed,7027,899.09,No,Algal
Monosaccharide,Hexose,Raffinose,Fructose,4337,2.1571,Yes,Simple_Carbohydrate
Disaccharide,Reducing,Sucrose,Fructose,45,5.5647,No,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Dextran,Galactose,4634,107.59,No,Storage
Disaccharide,Non-reducing,Raffinose,Mixed,3243,7.9334,No,Simple_Carbohydrate
Monosaccharide,Hexose,Ribose,Galactose,2332,1.575,Yes,Simple_Carbohydrate
Monosaccharide,Hexose,Raffinose,Mixed,4730,3.1454,No,Simple_Carbohydrate
Monosaccharide,Pentose,Ribose,Mannose,4462,3.1105,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Laminarin,Mannose,5282,129.18,No,Storage
Monosaccharide,Hexose,Ribose,Mixed,9621,8.376,Yes,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Raffinose,Mannose,8504,7.5871,No,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Lactose,Mannose,1496,4.4153,No,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Maltose,Glucose,2636,3.2785,No,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Dextran,Mannose,9014,1991.12,Yes,Bacterial
Monosaccharide,Pentose,Maltose,Mannose,8433,3.3004,Yes,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Cellulose,Galactose,8169,570.87,No,Storage
Disaccharide,Non-reducing,Lactose,Galactose,7180,1.397,No,Simple_Carbohydrate
Monosaccharide,Hexose,Ribose,Fructose,2596,6.1278,No,Simple_Carbohydrate
Monosaccharide,Pentose,Glucose,Glucose,7562,2.3245,Yes,Simple_Carbohydrate
Disaccharide,Non-reducing,Ribose,Galactose,6809,2.9894,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Pullulan,Mannose,3124,1658.28,Yes,Storage
Oligosaccharide,Galactooligosaccharide,Maltose,Mixed,4379,9.3491,Yes,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Raffinose,Mannose,2436,5.9107,No,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Pectin,Mixed,6182,1660.23,No,Bioactive
Disaccharide,Reducing,Lactose,Mannose,717,3.8914,No,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Carrageenan,Fructose,8117,2965.36,Yes,Structural
Oligosaccharide,Fructooligosaccharide,Raffinose,Glucose,8619,8.4659,No,Simple_Carbohydrate
Monosaccharide,Hexose,Fructose,Fructose,1227,8.7222,No,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Lactose,Glucose,5385,6.9578,No,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Raffinose,Mixed,1123,5.4561,Yes,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Ribose,Glucose,1648,0.9948,No,Simple_Carbohydrate
Disaccharide,Non-reducing,Glucose,Glucose,4808,0.5553,No,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Sucrose,Mannose,9274,2.5176,Yes,Simple_Carbohydrate
Disaccharide,Reducing,Glucose,Mannose,3947,6.134,No,Simple_Carbohydrate
Disaccharide,Reducing,Fructose,Mannose,4185,6.4153,Yes,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Scleroglucan,Glucose,7239,1644.33,No,Algal
Oligosaccharide,Galactooligosaccharide,Ribose,Galactose,3265,2.576,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Agar,Galactose,9419,1150.28,No,Fungal
Oligosaccharide,Fructooligosaccharide,Raffinose,Galactose,134,6.6165,Yes,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Konjac Glucomannan,Mixed,5774,2398.59,Yes,Fungal
Disaccharide,Non-reducing,Ribose,Fructose,1593,7.5802,Yes,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Glucose,Fructose,1478,5.8378,No,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Sucrose,Mixed,5996,2.0879,No,Simple_Carbohydrate
Disaccharide,Non-reducing,Raffinose,Galactose,5551,9.4475,Yes,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Heparin,Fructose,6513,2264.91,No,Storage
Polysaccharide,Homopolysaccharide,Inulin,Mannose,6040,1614.35,No,Algal
Polysaccharide,Heteropolysaccharide,Chitin,Mannose,412,2027.76,No,Algal
Disaccharide,Reducing,Ribose,Galactose,6691,8.2562,Yes,Simple_Carbohydrate
Disaccharide,Reducing,Glucose,Mannose,1904,3.1132,Yes,Simple_Carbohydrate
Disaccharide,Reducing,Fructose,Mixed,6868,4.5911,Yes,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Guar Gum,Galactose,538,1850.8,No,Structural
Polysaccharide,Heteropolysaccharide,Agar,Glucose,6020,2567.8,No,Storage
Polysaccharide,Heteropolysaccharide,Xanthan Gum,Mannose,1503,2904.94,Yes,Fungal
Monosaccharide,Hexose,Raffinose,Fructose,9252,3.4017,Yes,Simple_Carbohydrate
Monosaccharide,Hexose,Lactose,Fructose,5385,2.2379,Yes,Simple_Carbohydrate
Monosaccharide,Pentose,Raffinose,Fructose,8852,9.8419,No,Simple_Carbohydrate
Disaccharide,Reducing,Ribose,Fructose,245,8.6778,No,Simple_Carbohydrate
Disaccharide,Non-reducing,Glucose,Glucose,2078,1.825,No,Simple_Carbohydrate
Monosaccharide,Hexose,Fructose,Galactose,8410,4.5379,Yes,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Laminarin,Mixed,4943,139.66,No,Fungal
Monosaccharide,Hexose,Fructose,Mannose,1770,8.4883,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Glycogen,Fructose,1078,973.11,Yes,Bioactive
Oligosaccharide,Galactooligosaccharide,Lactose,Mannose,8284,5.3525,No,Simple_Carbohydrate
Monosaccharide,Hexose,Raffinose,Mixed,3524,6.5817,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Levan,Mannose,6534,1023.41,No,Fungal
Monosaccharide,Pentose,Fructose,Galactose,6134,3.194,Yes,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Glycogen,Glucose,7077,2497.0,Yes,Fungal
Oligosaccharide,Fructooligosaccharide,Lactose,Mixed,9204,0.6938,No,Simple_Carbohydrate
Monosaccharide,Pentose,Maltose,Mannose,844,8.7487,No,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Glucose,Fructose,2537,5.8214,No,Simple_Carbohydrate
Disaccharide,Reducing,Maltose,Galactose,1884,8.4692,No,Simple_Carbohydrate
Disaccharide,Non-reducing,Raffinose,Mixed,9123,5.6536,Yes,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Sucrose,Galactose,5569,2.8054,No,Simple_Carbohydrate
Monosaccharide,Hexose,Raffinose,Mannose,1142,1.5182,Yes,Simple_Carbohydrate
Monosaccharide,Hexose,Ribose,Mannose,6880,5.3518,No,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Maltose,Galactose,9301,3.1852,Yes,Simple_Carbohydrate
Monosaccharide,Hexose,Sucrose,Glucose,1338,7.5689,No,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Guar Gum,Mannose,4477,1825.16,Yes,Algal
Monosaccharide,Pentose,Fructose,Mixed,7974,1.1978,No,Simple_Carbohydrate
Monosaccharide,Hexose,Fructose,Glucose,127,9.846,Yes,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Raffinose,Galactose,4744,1.4586,No,Simple_Carbohydrate
Monosaccharide,Hexose,Fructose,Fructose,2118,7.4954,No,Simple_Carbohydrate
Disaccharide,Non-reducing,Glucose,Glucose,7149,4.031,Yes,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Pectin,Mixed,6628,1731.52,No,Bioactive
Monosaccharide,Pentose,Glucose,Fructose,7540,9.6654,No,Simple_Carbohydrate
Monosaccharide,Pentose,Raffinose,Mannose,9650,1.148,No,Simple_Carbohydrate
Monosaccharide,Pentose,Raffinose,Galactose,3632,3.1717,No,Simple_Carbohydrate
Disaccharide,Reducing,Lactose,Mixed,8357,6.3689,Yes,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Ribose,Fructose,3873,9.5864,Yes,Simple_Carbohydrate
Disaccharide,Non-reducing,Sucrose,Fructose,1236,1.8176,Yes,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Konjac Glucomannan,Mixed,7356,1695.57,No,Fungal
Oligosaccharide,Fructooligosaccharide,Fructose,Mannose,4963,0.776,No,Simple_Carbohydrate
Monosaccharide,Pentose,Lactose,Mannose,7406,0.8345,Yes,Simple_Carbohydrate
Monosaccharide,Pentose,Raffinose,Glucose,9735,2.9421,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Pullulan,Mixed,3086,2728.06,No,Algal
Polysaccharide,Homopolysaccharide,Cellulose,Galactose,1383,1357.06,Yes,Storage
Disaccharide,Non-reducing,Fructose,Mixed,2602,5.2883,No,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Fructose,Galactose,9797,4.1468,Yes,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Maltose,Mannose,4657,1.0356,No,Simple_Carbohydrate
Disaccharide,Non-reducing,Glucose,Fructose,5733,5.8691,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Laminarin,Glucose,5074,2129.41,No,Fungal
Oligosaccharide,Fructooligosaccharide,Ribose,Mixed,1533,7.058,No,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Maltose,Fructose,5600,3.1578,No,Simple_Carbohydrate
Disaccharide,Reducing,Sucrose,Galactose,1659,1.634,Yes,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Lactose,Fructose,2964,3.8295,Yes,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Levan,Fructose,7279,1099.26,No,Fungal
Polysaccharide,Homopolysaccharide,Cellulose Sulfate,Mannose,3180,725.11,No,Fungal
Polysaccharide,Heteropolysaccharide,Konjac Glucomannan,Mannose,8241,852.5,No,Structural
Disaccharide,Reducing,Raffinose,Mannose,6083,2.575,Yes,Simple_Carbohydrate
Monosaccharide,Pentose,Glucose,Galactose,7363,7.6549,Yes,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Agar,Galactose,438,2451.94,No,Storage
Polysaccharide,Heteropolysaccharide,Agar,Glucose,6144,1164.64,Yes,Storage
Oligosaccharide,Fructooligosaccharide,Raffinose,Galactose,2394,7.1756,Yes,Simple_Carbohydrate
Monosaccharide,Pentose,Raffinose,Fructose,7687,4.7773,No,Simple_Carbohydrate
Monosaccharide,Hexose,Glucose,Fructose,8993,2.6336,No,Simple_Carbohydrate
Monosaccharide,Pentose,Sucrose,Glucose,3908,3.0814,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Chitin,Mannose,9778,2511.7,Yes,Fungal
Disaccharide,Reducing,Maltose,Mixed,5782,4.3495,Yes,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Scleroglucan,Mixed,5910,2007.96,Yes,Algal
Monosaccharide,Pentose,Raffinose,Mannose,6118,4.7543,No,Simple_Carbohydrate
Monosaccharide,Pentose,Raffinose,Fructose,1700,0.7688,No,Simple_Carbohydrate
Disaccharide,Reducing,Maltose,Fructose,7614,5.5055,No,Simple_Carbohydrate
Disaccharide,Reducing,Glucose,Mannose,607,7.1888,No,Simple_Carbohydrate
Disaccharide,Reducing,Raffinose,Glucose,5172,2.0748,No,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Inulin,Fructose,4689,119.5,No,Storage
Oligosaccharide,Galactooligosaccharide,Glucose,Mannose,6555,8.0135,No,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Hyaluronic Acid,Mannose,6020,1493.65,No,Storage
Polysaccharide,Homopolysaccharide,Levan,Fructose,8939,1811.34,No,Bioactive
Monosaccharide,Hexose,Maltose,Galactose,7307,6.6431,No,Simple_Carbohydrate
Disaccharide,Non-reducing,Maltose,Galactose,7128,4.5266,No,Simple_Carbohydrate
Monosaccharide,Hexose,Ribose,Galactose,8408,6.4114,Yes,Simple_Carbohydrate
Monosaccharide,Hexose,Raffinose,Mannose,572,6.115,Yes,Simple_Carbohydrate
Monosaccharide,Hexose,Raffinose,Galactose,6274,6.4871,Yes,Simple_Carbohydrate
Disaccharide,Non-reducing,Maltose,Glucose,9405,3.7829,Yes,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Maltose,Fructose,1860,6.5307,Yes,Simple_Carbohydrate
Disaccharide,Non-reducing,Lactose,Mixed,1931,3.9312,No,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Sucrose,Galactose,8049,9.964,Yes,Simple_Carbohydrate
Monosaccharide,Hexose,Raffinose,Fructose,7294,0.8331,Yes,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Ribose,Mixed,4759,0.7429,No,Simple_Carbohydrate
Disaccharide,Reducing,Raffinose,Fructose,1990,3.6788,Yes,Simple_Carbohydrate
Disaccharide,Reducing,Raffinose,Galactose,9079,4.9908,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Laminarin,Glucose,5069,2653.9,No,Fungal
Polysaccharide,Heteropolysaccharide,Konjac Glucomannan,Mixed,1210,1234.21,Yes,Bioactive
Monosaccharide,Pentose,Fructose,Galactose,2104,6.8331,Yes,Simple_Carbohydrate
Disaccharide,Non-reducing,Lactose,Glucose,2036,9.1161,Yes,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Sucrose,Fructose,5671,3.2943,No,Simple_Carbohydrate
Monosaccharide,Pentose,Sucrose,Mixed,4498,6.3871,Yes,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Lactose,Mixed,9515,6.4458,Yes,Simple_Carbohydrate
Disaccharide,Non-reducing,Raffinose,Glucose,466,9.2469,Yes,Simple_Carbohydrate
Monosaccharide,Pentose,Ribose,Mixed,6827,2.187,Yes,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Fucoidan,Mannose,4014,2870.38,No,Bioactive
Polysaccharide,Homopolysaccharide,Welan Gum,Mannose,6811,189.14,No,Bacterial
Disaccharide,Non-reducing,Lactose,Galactose,5660,1.5223,No,Simple_Carbohydrate
Disaccharide,Non-reducing,Lactose,Galactose,3962,5.6603,No,Simple_Carbohydrate
Monosaccharide,Pentose,Fructose,Glucose,831,2.5544,No,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Agar,Fructose,5366,2888.43,No,Structural
Disaccharide,Non-reducing,Lactose,Galactose,8150,4.7215,Yes,Simple_Carbohydrate
Monosaccharide,Pentose,Lactose,Fructose,3526,4.6266,No,Simple_Carbohydrate
Monosaccharide,Hexose,Maltose,Mannose,4683,4.9995,Yes,Simple_Carbohydrate
Monosaccharide,Pentose,Sucrose,Galactose,6608,8.8363,No,Simple_Carbohydrate
Monosaccharide,Pentose,Glucose,Fructose,5941,5.7458,No,Simple_Carbohydrate
Monosaccharide,Pentose,Lactose,Mixed,4584,4.5585,Yes,Simple_Carbohydrate
Disaccharide,Reducing,Fructose,Galactose,9141,3.7947,No,Simple_Carbohydrate
Disaccharide,Reducing,Lactose,Mixed,661,5.1403,Yes,Simple_Carbohydrate
Monosaccharide,Hexose,Ribose,Mannose,8510,3.3971,No,Simple_Carbohydrate
Disaccharide,Reducing,Maltose,Galactose,2664,9.3206,No,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Lactose,Mixed,8027,8.3001,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Alginate,Glucose,6826,1000.41,No,Fungal
Monosaccharide,Pentose,Maltose,Mixed,9465,9.674,Yes,Simple_Carbohydrate
Monosaccharide,Pentose,Sucrose,Mixed,6231,5.2899,Yes,Simple_Carbohydrate
Disaccharide,Reducing,Lactose,Glucose,3127,9.4872,Yes,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Levan,Fructose,6725,462.78,No,Fungal
Monosaccharide,Hexose,Lactose,Galactose,7839,2.1527,No,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Fructose,Galactose,8952,9.13,No,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Sucrose,Galactose,9145,9.5776,No,Simple_Carbohydrate
Disaccharide,Non-reducing,Raffinose,Fructose,8013,2.9611,No,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Cellulose Sulfate,Galactose,4717,2801.76,Yes,Algal
Polysaccharide,Heteropolysaccharide,Alginate,Fructose,4760,2864.28,Yes,Bioactive
Monosaccharide,Pentose,Fructose,Mannose,3507,6.5941,Yes,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Sucrose,Mixed,3922,1.1813,Yes,Simple_Carbohydrate
Monosaccharide,Hexose,Ribose,Glucose,6773,2.4051,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Scleroglucan,Glucose,9018,2314.59,Yes,Bacterial
Polysaccharide,Heteropolysaccharide,Fucoidan,Galactose,5264,606.37,No,Fungal
Monosaccharide,Hexose,Ribose,Mixed,613,5.7839,Yes,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Cellulose,Mannose,8118,2991.54,Yes,Fungal
Oligosaccharide,Fructooligosaccharide,Glucose,Mixed,1760,3.0541,No,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Ribose,Mannose,2200,5.4787,No,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Raffinose,Fructose,7520,1.2152,No,Simple_Carbohydrate
Disaccharide,Reducing,Ribose,Galactose,9304,3.4374,Yes,Simple_Carbohydrate
Disaccharide,Non-reducing,Raffinose,Galactose,1423,4.3343,No,Simple_Carbohydrate
Monosaccharide,Hexose,Sucrose,Fructose,113,4.8268,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Pullulan,Galactose,4949,2263.73,Yes,Bioactive
Oligosaccharide,Fructooligosaccharide,Glucose,Mannose,5028,6.7111,Yes,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Welan Gum,Galactose,6023,361.07,Yes,Structural
Disaccharide,Non-reducing,Sucrose,Mixed,6123,4.6043,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Konjac Glucomannan,Mixed,1343,749.92,No,Algal
Oligosaccharide,Fructooligosaccharide,Lactose,Mixed,8283,1.2109,Yes,Simple_Carbohydrate
Disaccharide,Reducing,Maltose,Mannose,1906,8.5594,Yes,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Locust Bean Gum,Glucose,7431,1341.99,Yes,Algal
Polysaccharide,Heteropolysaccharide,Curdlan,Mannose,5051,182.63,Yes,Bacterial
Oligosaccharide,Fructooligosaccharide,Ribose,Glucose,744,2.2572,No,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Lactose,Glucose,7736,9.9418,Yes,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Sucrose,Mannose,6137,7.7128,No,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Carrageenan,Mixed,2180,249.95,No,Storage
Disaccharide,Non-reducing,Lactose,Fructose,58,1.3607,Yes,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Ribose,Mannose,8717,7.219,No,Simple_Carbohydrate
Disaccharide,Reducing,Fructose,Galactose,3090,3.527,Yes,Simple_Carbohydrate
Monosaccharide,Pentose,Lactose,Glucose,3945,7.6839,Yes,Simple_Carbohydrate
Monosaccharide,Hexose,Lactose,Mixed,799,0.4324,Yes,Simple_Carbohydrate
Monosaccharide,Pentose,Fructose,Fructose,926,2.42,Yes,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Raffinose,Mixed,5226,9.1723,No,Simple_Carbohydrate
Disaccharide,Non-reducing,Sucrose,Mixed,3623,9.8584,No,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Glucose,Mixed,2871,5.6115,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Alginate,Mannose,8594,2825.34,No,Fungal
Polysaccharide,Heteropolysaccharide,Heparin,Fructose,8815,906.67,No,Structural
Disaccharide,Non-reducing,Raffinose,Mannose,946,7.105,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Carrageenan,Fructose,5413,736.15,Yes,Bacterial
Oligosaccharide,Fructooligosaccharide,Lactose,Fructose,846,7.2734,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Glycogen,Mixed,9158,572.61,Yes,Bacterial
Disaccharide,Non-reducing,Maltose,Glucose,3472,9.5745,Yes,Simple_Carbohydrate
Monosaccharide,Pentose,Sucrose,Fructose,6500,6.9867,Yes,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Fructose,Galactose,5055,4.7159,No,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Fructose,Mannose,5248,1.0762,Yes,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Fructose,Fructose,2392,0.5526,Yes,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Maltose,Galactose,3770,1.6089,No,Simple_Carbohydrate
Disaccharide,Non-reducing,Lactose,Galactose,4218,6.5806,No,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Hyaluronic Acid,Galactose,2775,2200.99,Yes,Fungal
Polysaccharide,Homopolysaccharide,Cellulose Sulfate,Glucose,8586,2971.07,Yes,Storage
Monosaccharide,Hexose,Fructose,Fructose,1115,1.4612,Yes,Simple_Carbohydrate
Monosaccharide,Hexose,Lactose,Glucose,7918,4.6145,No,Simple_Carbohydrate
Monosaccharide,Hexose,Lactose,Glucose,276,5.5613,No,Simple_Carbohydrate
Oligosaccharide,Fructooligosaccharide,Lactose,Mannose,2939,8.1503,Yes,Simple_Carbohydrate
Monosaccharide,Hexose,Sucrose,Mixed,4137,2.0001,No,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Glucose,Mannose,7522,3.7932,Yes,Simple_Carbohydrate
Disaccharide,Non-reducing,Ribose,Glucose,521,8.2978,Yes,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Carrageenan,Glucose,156,1662.58,Yes,Storage
Polysaccharide,Heteropolysaccharide,Fucoidan,Mixed,1564,2355.29,Yes,Structural
Disaccharide,Non-reducing,Maltose,Glucose,4595,0.561,Yes,Simple_Carbohydrate
Disaccharide,Non-reducing,Glucose,Mixed,2364,9.6185,No,Simple_Carbohydrate
Monosaccharide,Pentose,Sucrose,Mixed,6377,5.6832,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Welan Gum,Mixed,5668,2175.25,Yes,Storage
