polysaccharide_name,pubchem_cid,synonyms,molecular_weight,molecular_formula,iupac_name,xlogp,complexity,functional_category,source,curation_note
Beta Glucan,182139,(6-chloropyridin-2-yl)methanol|33674-97-4|DTXSID90955292|RefChem:405028|DTXCID70974229,143.57,C6H6ClNO,(6-chloro-2-pyridinyl)methanol,1,89,Bioactive,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Alginate,5102571,,312.4,C17H13FN2OS,"4-[3-[(3-fluorophenyl)methyl]-4-oxo-1,3-thiazolidin-2-yl]benzonitrile",3.1,455,Algal,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Pullulan,92832570,,457.5,C27H28FN5O,"(E)-3-[3,5-dimethyl-1-[(4-methylphenyl)methyl]pyrazol-4-yl]-N-[(S)-(2-fluorophenyl)-(1-methylimidazol-2-yl)methyl]prop-2-enamide",4.1,697,Fungal,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Xanthan,131750098,(3s)-3-(Methylsulfanyl)-1-Azabicyclo[2.2.2]octane,157.28,C8H15NS,(3S)-3-methylsulfanyl-1-azabicyclo[2.2.2]octane,1.5,118,Bacterial,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Fucoidan,16693080,,473.65,C13H17O6Tl,(3-diacetyloxythallanyl-2-bicyclo[2.2.1]hept-5-enyl) acetate,,444,Algal,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Levan,91685584,AKOS025135339|(2E)-3-{3-[(3-bromobenzyl)oxy]phenyl}acrylohydrazide,347.21,C16H15BrN2O2,(E)-3-[3-[(3-bromophenyl)methoxy]phenyl]prop-2-enehydrazide,3,362,Bacterial,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Carrageenan,44134861,,215.21,C8H13N3O4,2-ethoxyimino-5-nitrohex-3-enamide,0.6,293,Algal,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Guar Gum,24771262,,492.8,C31H56O4,"(3S,8R,9R,10R,12R,14R,17S)-17-[(2S)-2-hydroxy-6-methoxy-6-methylheptan-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,12-diol",6.4,793,Storage,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Gum Arabic,441476,"(2S,3R,4S,5R,6R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid|Pectins|89NA02M4RX|CHEBI:17309|methoxylpectin",194.14,C6H10O7,"(2S,3R,4S,5R,6R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",-2.3,205,Storage,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Gum Tragacanth,5780,D-Sorbitol|sorbitol|50-70-4|D-Glucitol|glucitol,182.17,C6H14O6,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",-3.1,105,Storage,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
